Ball calibrator: vector scaling (models/auto/d17/vector_scaling_calibrator_d17.pkl)
Loading stats provider + player metadata + model ...
StatsProvider: using SQLite backend player_stats_cache_i7.sqlite (56.7 MB)
Loading player metadata from data/all_players_enriched.csv...
  Loaded 11,256 players
  Batting: 8178 right, 1814 left, 1264 unknown
  Bowling: 6256 right, 1381 left, 3619 unknown
Loaded XGBoost v2 model with 114 features with real player stats with player metadata; venue encoder ACTIVE (373 venues)
Bowler selector: empirical
Run-out dismissal channel ACTIVE (p_runout=0.0751, nonstriker_share=0.4685)
Running prop backtest on 261 matches × 100 sims
B10 usage-aligned bowler selector ACTIVE (k_u=5.0)
  as-of corpus: /Users/aryamangupta/CricML/Match_Prediction/models/b10_usage_corpus.pkl (7433 players); min_eligible=5, min_share=0.01
  [34/261] 1493251                                                       sim_runs={'Sydney Thunder': 162.29, 'Melbourne Stars': 150.37}  actual_runs={'Sydney Thunder': 128, 'Melbourne Stars': 132}  (4.9s)
  [35/261] 1493252                                                       sim_runs={'Melbourne Renegades': 168.89, 'Hobart Hurricanes': 156.37}  actual_runs={'Melbourne Renegades': 162, 'Hobart Hurricanes': 163}  (4.9s)
  [36/261] 1493253                                                       sim_runs={'Perth Scorchers': 166.65, 'Sydney Thunder': 150.6}  actual_runs={'Perth Scorchers': 202, 'Sydney Thunder': 131}  (4.9s)
  [37/261] 1493254                                                       sim_runs={'Brisbane Heat': 165.48, 'Adelaide Strikers': 152.19}  actual_runs={'Brisbane Heat': 121, 'Adelaide Strikers': 125}  (4.9s)
  [38/261] 1493255                                                       sim_runs={'Melbourne Renegades': 166.18, 'Sydney Sixers': 153.36}  actual_runs={'Melbourne Renegades': 164, 'Sydney Sixers': 168}  (4.9s)
  [39/261] 1493256                                                       sim_runs={'Perth Scorchers': 169.77, 'Hobart Hurricanes': 150.9}  actual_runs={'Perth Scorchers': 229, 'Hobart Hurricanes': 189}  (4.9s)
  [40/261] 1493257                                                       sim_runs={'Melbourne Stars': 168.49, 'Brisbane Heat': 153.93}  actual_runs={'Melbourne Stars': 195, 'Brisbane Heat': 199}  (4.9s)
  [41/261] 1493258                                                       sim_runs={'Sydney Thunder': 162.28, 'Hobart Hurricanes': 146.79}  actual_runs={'Sydney Thunder': 205, 'Hobart Hurricanes': 207}  (5.0s)
  [42/261] 1493259                                                       sim_runs={'Melbourne Stars': 169.99, 'Melbourne Renegades': 154.92}  actual_runs={'Melbourne Stars': 173, 'Melbourne Renegades': 177}  (5.0s)
  [43/261] 1493260                                                       sim_runs={'Perth Scorchers': 164.47, 'Adelaide Strikers': 148.97}  actual_runs={'Perth Scorchers': 153, 'Adelaide Strikers': 120}  (4.9s)
  [44/261] 1493261                                                       sim_runs={'Brisbane Heat': 159.47, 'Sydney Sixers': 148.88}  actual_runs={'Brisbane Heat': 114, 'Sydney Sixers': 118}  (5.0s)
  [45/261] 1493262                                                       sim_runs={'Adelaide Strikers': 165.25, 'Sydney Thunder': 152.57}  actual_runs={'Adelaide Strikers': 165, 'Sydney Thunder': 159}  (4.9s)
  [46/261] 1493263                                                       sim_runs={'Perth Scorchers': 176.12, 'Melbourne Renegades': 154.16}  actual_runs={'Perth Scorchers': 127, 'Melbourne Renegades': 130}  (5.0s)
  [47/261] 1493264                                                       sim_runs={'Melbourne Stars': 166.06, 'Sydney Sixers': 149.92}  actual_runs={'Melbourne Stars': 128, 'Sydney Sixers': 129}  (5.0s)
  [48/261] 1493265                                                       sim_runs={'Hobart Hurricanes': 168.25, 'Adelaide Strikers': 156.94}  actual_runs={'Hobart Hurricanes': 178, 'Adelaide Strikers': 141}  (4.9s)
  [49/261] 1493266                                                       sim_runs={'Sydney Thunder': 164.72, 'Brisbane Heat': 150.05}  actual_runs={'Sydney Thunder': 180, 'Brisbane Heat': 183}  (5.0s)
  [50/261] 1493267                                                       sim_runs={'Melbourne Renegades': 162.32, 'Melbourne Stars': 150.4}  actual_runs={'Melbourne Renegades': 166, 'Melbourne Stars': 170}  (5.1s)
  [51/261] 1493268                                                       sim_runs={'Sydney Sixers': 164.54, 'Hobart Hurricanes': 152.62}  actual_runs={'Sydney Sixers': 32}  (5.1s)
  [52/261] 1493269                                                       sim_runs={'Perth Scorchers': 171.03, 'Adelaide Strikers': 155.23}  actual_runs={'Perth Scorchers': 232, 'Adelaide Strikers': 200}  (5.1s)
