bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against
bb18be76,SK Warne,14.8643,0.0122,1223,-215.0527
2f9d0389,LH Ferguson,14.4972,0.0134,1078,13.9927
f842c2cf,MJ Clarke,14.4318,0.2187,66,-29.1581
64775749,RP Meredith,13.8285,0.0333,415,19.7647
3ae3f034,AUK Pathan,12.7193,0.3102,41,-14.7429
ded9240e,PJ Cummins,12.7081,0.0076,1682,60.479
be24ead0,Ramandeep Singh,12.5114,0.278,45,-8.5428
57efa3be,SB Styris,12.4797,0.0562,222,-25.9491
a457cfb5,Mayank Dagar,12.4207,0.09,138,-8.6108
012829ff,JW Hastings,12.3756,0.2029,61,-16.8546
25eeb281,PC Valthaty,12.2252,0.0799,153,-19.5444
4ec07775,RN ten Doeschate,12.0191,0.1448,83,-16.586
4c4fa80b,SMSM Senanayake,11.8045,0.0605,195,-39.2298
c3c92b42,RS Hangargekar,11.5835,0.2694,43,-8.5053
9ab63e7b,Mohammad Hafeez,11.0519,0.1754,63,-18.968
b822e99c,NB Singh,10.9964,0.4399,25,-12.4735
8d92a2c3,MA Wood,10.7735,0.0848,127,-6.1186
63bff7f9,SM Harwood,10.6993,0.1597,67,-19.6282
d014d5ac,SE Rutherford,10.272,0.2233,46,-13.0538
20a941bb,M Ntini,9.9256,0.0466,213,-26.2849
88fccd6c,SM Pollock,9.8173,0.0351,280,-24.9386
896d78ad,AD Mathews,9.7651,0.0121,807,-62.4324
bd17b45f,STR Binny,9.7175,0.0159,611,-45.5015
03806cf8,JR Hazlewood,9.6765,0.0108,892,31.336
2a2e6343,DT Christian,9.6494,0.0105,922,-56.862
eaa76d3c,C Green,9.6242,0.0208,462,46.7856
f834dcfc,L Ngidi,9.4092,0.0241,390,-5.6031
11614d87,D Pretorius,9.1832,0.0553,166,-2.8881
b552a935,AC Thomas,8.9371,0.0273,327,-38.9836
d2340a43,Anand Rajan,8.9087,0.055,162,-16.6705
fb2d1dda,N Rana,8.2997,0.0421,197,-14.987
1a156c88,DJM Short,8.263,0.4591,18,-9.9443
ba5e1069,R Ravindra,8.183,0.6819,12,-8.2982
a90e53ec,MW Short,8.0883,0.3235,25,-8.2066
4180d897,JE Taylor,7.7222,0.0633,122,-17.3348
7d3937ed,DJ Thornely,7.6013,0.1728,44,-9.6517
e4cdf230,AS Roy,7.5196,0.045,167,0.613
d167edd3,SM Boland,7.4171,0.1725,43,-8.6079
9a46c4e5,GD Phillips,6.7486,0.2177,31,-6.0253
97290faf,S Joseph,6.5163,0.2172,30,0.3761
465aa633,N Burger,6.507,0.062,105,-0.1821
ef5da05c,AG Murtaza,6.4633,0.024,269,-43.9046
60500956,RV Patel,6.2334,0.3117,20,-7.4026
4bd09374,Akash Madhwal,6.0021,0.016,376,28.5244
641ac5ff,IS Sodhi,5.7961,0.0318,182,-30.8952
0b60eb09,KA Maharaj,5.3996,0.15,36,-5.3781
6eb146d2,Gurkeerat Singh,5.312,0.0648,82,-16.1808
90edaaa9,S Rana,5.2058,0.3254,16,-7.5309
b1ad996b,MP Yadav,5.1768,0.0401,129,9.885
fb24e76c,Monu Kumar,5.1715,0.3232,16,-6.2596
172dff15,C Bosch,4.9793,0.1107,45,-0.8389
94d7f855,C de Grandhomme,4.9548,0.0215,230,-4.0428
c0c411cb,Naveen-ul-Haq,4.9478,0.0122,407,27.0745
c42aaf71,M Manhas,4.9118,0.1169,42,-12.4316
21d4e29b,Navdeep Saini,4.1476,0.003,1364,-11.1491
facb9086,SD Chitnis,4.0372,0.1062,38,-9.2332
b69e69ed,AA Noffke,4.0253,0.161,25,-4.1918
c3d1402f,RP Singh,4.0153,0.0021,1874,-144.0202
b0482a1d,Tilak Varma,3.6493,0.1587,23,-3.4613
ba607b88,V Kohli,3.6397,0.0138,264,-21.9657
402f8494,RJ Gleeson,3.5862,0.0491,73,8.4776
f5f18a18,S Randiv,3.5813,0.0199,180,-28.2878
03a83c50,V Viyaskanth,3.4121,0.0569,60,2.7658
0af3426f,SS Mundhe,2.8123,0.4018,7,-3.0019
e087956b,BA Stokes,2.5938,0.0036,723,-32.7166
a343262c,JE Root,2.5657,0.2138,12,-0.8663
f6d8a7ab,K Kartikeya,2.1053,0.0073,290,-4.54
b2570b38,RV Gomez,2.0379,0.021,97,-10.106
39f01cdb,KP Pietersen,1.7528,0.0097,180,-33.0389
54e52590,Vijaykumar Vyshak,1.6716,0.0047,356,54.0517
d1a60072,N Wadhera,1.5639,0.092,17,-1.6313
85ec8e33,SS Iyer,1.5557,0.2593,6,-1.4791
d872f52a,LA Carseldine,1.3709,0.1958,7,-2.2924
6581d753,JM Kemp,1.3659,0.0291,47,-3.8675
44aac2f0,Arjun Tendulkar,1.2403,0.0149,83,7.4505
5fa06777,IK Pathan,1.227,0.0006,2113,-150.0982
2b6e6dec,AC Gilchrist,1.0951,1.0951,1,-1.204
29e95537,AM Rahane,0.9993,0.1666,6,-1.4497
73c18486,KR Mayers,0.7931,0.0172,46,2.2528
dcce6f09,DA Warner,0.79,0.395,2,-1.0871
dc9dd038,Sachin Baby,0.7577,0.0758,10,-1.4831
94eac556,CJ McKay,0.6039,0.0144,42,-1.4767
9a0146b3,P Sahu,0.492,0.0046,107,-9.9733
91ffa6c6,JD Ryder,0.4118,0.0017,241,-23.1596
650d5e49,R Powell,0.3197,0.0152,21,0.9405
ea0cdc12,BAW Mendis,0.2917,0.0012,248,-39.2735
94253925,GH Vihari,0.2456,0.0057,43,-5.2398
bae11797,Y Gnaneswara Rao,0.2237,0.0373,6,0.3639
f24ca2ba,C Nanda,0.1463,0.0029,50,-11.5196
80b2fb19,Prince Yadav,0.0894,0.0006,144,24.0744
c7a995d3,R Sai Kishore,-0.0631,-0.0001,453,20.3116
6042bf26,NJ Rimmington,-0.0947,-0.0053,18,-1.8164
27af6414,BJ Rohrer,-0.1064,-0.0152,7,-1.0105
2e9fdf9b,DAJ Bracewell,-0.1933,-0.0077,25,0.0242
acd4f5dc,DP Vijaykumar,-0.3483,-0.0022,159,-10.0848
0a4ebc61,T Henderson,-0.3578,-0.0099,36,-4.1331
99b202b3,A Chandila,-0.5771,-0.0025,234,-36.059
4b4d1957,PM Sarvesh Kumar,-0.6731,-0.0217,31,-1.2398
9ff100a6,RS Gavaskar,-0.8004,-0.1334,6,-0.0069
26989d80,Shashank Singh,-0.8562,-0.0276,31,4.8602
9868bc75,BMAJ Mendis,-0.8647,-0.0288,30,-3.2166
611926bc,GR Napier,-0.8673,-0.0361,24,-4.5466
a1d95bd8,LB Williams,-0.8748,-0.0208,42,9.1947
b2b23612,RG More,-0.9729,-0.0263,37,-0.8814
5673a3fc,NL McCullum,-1.0352,-0.0345,30,-4.0665
af2c687b,C Munro,-1.1402,-0.095,12,0.5564
