canonical_venue,month,temp_c_mean,precip_mm_daily_mean,windmax_kmh_mean,rh_pct_mean,source,period
"Buffalo Park, East London",10,18.41,2.42,26.76,74.9,open-meteo-archive,2015-01-01..2024-12-31
"Buffalo Park, East London",11,19.47,2.63,25.55,76.5,open-meteo-archive,2015-01-01..2024-12-31
"Buffalo Park, East London",12,21.32,2.48,25.33,77.4,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",1,4.28,2.61,25.40,84.6,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",2,4.96,2.82,26.64,81.2,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",3,5.87,2.55,23.82,79.9,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",4,7.59,1.72,21.29,76.3,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",5,11.02,2.24,21.04,76.8,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",6,13.72,2.57,20.75,76.3,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",7,15.39,2.91,20.43,77.2,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",8,15.05,2.82,20.97,79.2,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",9,13.12,2.48,21.02,80.5,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",10,10.29,3.17,23.02,82.8,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",11,6.67,2.78,21.99,85.5,open-meteo-archive,2015-01-01..2024-12-31
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",12,5.36,3.13,24.11,86.7,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",1,19.68,0.42,10.36,60.9,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",2,22.83,0.58,11.26,52.3,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",3,27.14,0.62,13.09,45.3,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",4,31.55,0.50,16.31,37.0,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",5,33.68,0.53,17.15,38.0,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",6,30.91,6.43,17.29,62.5,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",7,27.06,12.54,17.13,83.0,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",8,26.61,12.92,16.61,84.2,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",9,26.72,10.02,13.16,84.3,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",10,25.86,1.75,10.21,73.9,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",11,22.80,0.28,10.00,64.8,open-meteo-archive,2015-01-01..2024-12-31
"Shaheed Veer Narayan Singh International Stadium, Raipur",12,20.10,0.53,10.20,64.6,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.17,0.43,11.99,55.9,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,24.30,0.22,12.66,46.2,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,28.51,0.46,14.38,39.0,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",4,32.82,0.53,16.30,31.4,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",5,35.10,0.43,18.69,32.0,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",6,31.13,5.89,17.22,61.9,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",7,27.01,15.67,17.52,82.6,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",8,26.54,11.64,17.03,83.2,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",9,26.75,7.78,13.33,83.2,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",10,26.38,1.87,10.79,69.4,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",11,24.03,0.15,10.73,57.4,open-meteo-archive,2015-01-01..2024-12-31
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",12,21.59,0.23,11.55,57.2,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",1,26.27,7.60,19.92,84.5,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",2,26.71,3.50,21.61,80.8,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",3,27.31,5.14,17.86,81.5,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",4,27.57,7.40,14.05,84.1,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",5,27.91,8.34,14.62,83.9,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",6,27.63,8.29,15.92,83.2,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",7,27.67,5.04,17.99,81.7,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",8,27.47,5.69,18.18,82.0,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",9,27.48,5.78,17.03,81.8,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",10,27.30,6.97,15.40,83.6,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",11,26.69,10.09,14.17,86.1,open-meteo-archive,2015-01-01..2024-12-31
"Indian Association Ground, Singapore",12,26.50,8.37,17.24,85.3,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",1,-5.49,2.24,19.89,76.7,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",2,-5.12,1.97,20.68,73.8,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",3,-0.38,2.08,21.27,68.8,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",4,5.58,3.17,21.07,67.2,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",5,13.19,2.27,18.23,66.3,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",6,18.24,3.32,18.22,67.5,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",7,21.25,2.74,16.52,70.0,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",8,20.44,2.68,16.17,73.5,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",9,17.15,2.08,16.57,74.9,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",10,10.31,2.67,19.27,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",11,3.37,2.05,20.16,76.4,open-meteo-archive,2015-01-01..2024-12-31
"Maple Leaf North-West Ground, King City",12,-1.42,2.18,20.13,79.7,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",1,23.07,2.79,19.50,44.3,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",2,22.34,2.17,18.38,47.2,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",3,21.15,1.78,17.61,49.0,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",4,19.13,0.62,17.83,44.8,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",5,16.59,0.02,17.54,33.8,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",6,13.16,0.00,18.45,32.9,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",7,13.18,0.01,19.27,28.8,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",8,16.32,0.01,21.56,21.4,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",9,19.90,0.04,22.15,18.7,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",10,22.42,0.26,22.46,20.6,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",11,23.41,0.30,22.22,24.7,open-meteo-archive,2015-01-01..2024-12-31
"United Cricket Club Ground, Windhoek",12,23.45,1.44,20.95,34.4,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",1,4.57,1.92,23.27,87.3,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",2,5.63,2.17,25.67,83.1,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",3,6.78,2.34,24.20,80.5,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",4,8.77,1.58,20.48,75.1,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",5,12.31,2.20,20.17,75.3,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",6,15.51,2.13,19.78,74.2,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",7,17.31,2.13,20.15,73.0,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",8,16.90,2.10,20.78,76.0,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",9,14.62,2.27,20.62,79.3,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",10,11.46,2.68,22.43,84.2,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",11,7.72,2.38,22.97,87.4,open-meteo-archive,2015-01-01..2024-12-31
"College Ground, Cheltenham",12,6.48,2.62,24.36,89.1,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",1,26.85,8.79,15.74,81.7,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",2,26.61,7.24,16.92,82.1,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",3,26.33,9.63,14.60,85.3,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",4,26.22,6.99,13.90,86.7,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",5,26.27,3.96,17.89,84.5,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",6,25.81,1.95,20.14,82.4,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",7,25.44,1.56,22.21,80.3,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",8,25.32,1.48,23.41,79.3,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",9,25.85,2.21,22.66,79.3,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",10,26.26,3.32,19.23,81.8,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",11,26.84,3.07,16.91,81.1,open-meteo-archive,2015-01-01..2024-12-31
"Amini Park, Port Moresby",12,27.02,5.49,14.57,81.9,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",1,18.45,6.01,22.89,80.5,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",2,18.38,6.54,22.24,79.8,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",3,17.12,6.80,22.97,80.6,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",4,15.08,8.55,23.10,81.9,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",5,13.22,11.02,25.29,83.1,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",6,11.49,8.02,24.63,82.4,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",7,10.59,9.98,26.32,83.3,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",8,10.51,11.18,25.14,83.9,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",9,11.58,9.02,27.42,82.4,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",10,13.03,7.00,25.35,83.0,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",11,14.87,8.24,25.05,81.9,open-meteo-archive,2015-01-01..2024-12-31
"Pukekura Park, New Plymouth",12,16.95,8.36,23.18,81.6,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",1,5.90,1.94,25.86,83.8,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",2,6.50,2.27,27.79,80.2,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",3,7.18,2.44,25.35,79.7,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",4,8.62,2.01,21.61,78.6,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",5,11.85,2.10,20.45,77.5,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",6,14.52,2.33,20.23,76.4,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",7,16.03,2.52,19.80,77.7,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",8,15.80,2.64,21.38,79.1,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",9,13.98,2.72,21.98,81.0,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",10,11.61,2.65,23.91,81.6,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",11,8.43,2.87,24.75,84.4,open-meteo-archive,2015-01-01..2024-12-31
"The Village, Malahide, Dublin",12,7.15,2.93,26.54,85.5,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",1,17.37,2.94,16.83,67.2,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",2,16.66,2.72,15.69,68.3,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",3,14.67,2.30,13.49,72.3,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",4,11.26,2.36,12.49,76.2,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",5,7.75,2.26,9.90,81.6,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",6,4.71,1.87,7.90,84.5,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",7,4.18,2.23,8.49,82.7,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",8,5.55,1.71,10.09,79.6,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",9,8.06,2.63,13.88,73.7,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",10,10.85,2.92,15.80,71.1,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",11,13.42,2.75,16.92,69.9,open-meteo-archive,2015-01-01..2024-12-31
"Molyneux Park, Alexandra",12,15.85,2.98,17.20,67.1,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",1,17.02,0.58,9.03,76.6,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",2,19.17,0.91,10.39,72.1,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",3,22.93,1.53,12.61,65.9,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",4,24.69,4.94,13.17,75.6,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",5,25.79,9.56,12.04,82.8,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",6,27.13,14.05,10.57,87.6,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",7,27.63,17.63,10.47,88.4,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",8,27.88,14.64,10.14,87.0,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",9,27.32,10.93,9.85,87.2,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",10,25.23,6.19,9.75,84.6,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",11,21.78,0.40,9.43,77.7,open-meteo-archive,2015-01-01..2024-12-31
"Barsapara Cricket Stadium, Guwahati",12,18.44,0.40,8.93,77.6,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",1,5.18,2.28,24.90,85.5,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",2,5.67,2.83,26.62,82.4,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",3,6.34,2.66,23.67,81.5,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",4,7.89,2.04,20.73,78.8,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",5,11.13,2.26,19.58,78.3,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",6,13.77,2.69,19.07,78.3,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",7,14.94,3.25,18.92,80.3,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",8,14.88,3.35,20.18,82.1,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",9,13.19,2.94,21.34,83.0,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",10,10.83,2.96,23.38,83.7,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",11,7.75,3.04,23.31,85.9,open-meteo-archive,2015-01-01..2024-12-31
"Civil Service Cricket Club, Stormont, Belfast",12,6.38,3.23,24.91,87.7,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",1,22.85,2.47,19.37,53.2,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",2,21.91,2.22,18.19,56.2,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",3,20.27,1.64,18.03,55.5,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",4,15.96,1.92,16.55,61.1,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",5,12.94,0.64,15.18,55.6,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",6,9.34,0.36,16.19,55.1,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",7,8.98,0.32,17.34,48.4,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",8,11.85,0.28,18.61,39.7,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",9,16.51,0.51,21.14,35.1,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",10,19.47,0.95,21.17,36.1,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",11,21.19,1.45,22.57,40.4,open-meteo-archive,2015-01-01..2024-12-31
"Mangaung Oval, Bloemfontein",12,22.99,2.05,22.15,45.4,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",1,4.90,2.72,27.66,84.1,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",2,5.39,2.49,27.84,82.2,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",3,6.79,2.18,25.37,79.2,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",4,9.24,1.75,23.15,74.6,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",5,13.08,1.90,22.38,76.1,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",6,16.65,2.16,21.64,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",7,18.01,2.50,22.54,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",8,18.57,2.67,21.71,76.5,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",9,15.99,3.05,21.64,78.3,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",10,12.52,2.95,24.32,82.2,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",11,8.27,3.07,25.13,84.5,open-meteo-archive,2015-01-01..2024-12-31
"Sportpark Westvliet, The Hague",12,6.38,2.74,26.52,87.2,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",1,18.45,0.35,10.57,74.7,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",2,21.99,0.74,11.40,70.4,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",3,26.08,1.97,13.25,70.4,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",4,28.94,3.57,16.72,75.4,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",5,29.37,5.72,17.39,78.9,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",6,29.12,9.09,17.62,83.6,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",7,28.26,11.87,17.25,86.4,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",8,28.08,11.00,16.43,86.9,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",9,28.03,9.25,14.04,87.0,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",10,26.75,6.36,11.04,84.2,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",11,23.37,1.53,9.75,76.6,open-meteo-archive,2015-01-01..2024-12-31
"Sheikh Abu Naser Stadium, Khulna",12,19.84,1.01,10.13,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",1,18.20,2.48,18.13,72.9,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",2,17.57,3.14,17.30,74.5,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",3,15.93,3.00,15.53,77.3,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",4,13.31,3.09,14.99,79.4,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",5,11.11,3.96,15.02,81.9,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",6,9.00,3.38,13.47,82.4,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",7,8.18,4.14,15.74,81.4,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",8,8.68,3.83,15.03,81.8,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",9,10.17,3.03,16.94,78.3,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",10,12.28,3.07,18.53,76.0,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",11,14.38,3.54,18.31,75.7,open-meteo-archive,2015-01-01..2024-12-31
"Saxton Oval, Nelson",12,16.62,3.19,18.94,74.5,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",1,25.23,2.31,19.60,46.0,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",2,24.23,1.63,19.23,49.5,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",3,22.38,1.63,18.81,50.1,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",4,17.76,1.63,16.40,57.2,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",5,14.51,0.43,15.17,53.5,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",6,10.95,0.36,16.42,53.8,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",7,10.59,0.12,17.37,45.9,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",8,13.58,0.21,18.92,35.4,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",9,18.11,0.31,20.86,31.1,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",10,21.61,0.64,21.45,29.5,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",11,23.45,1.04,22.61,32.9,open-meteo-archive,2015-01-01..2024-12-31
"De Beers Diamond Oval, Kimberley",12,25.35,1.77,23.16,37.8,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",1,18.70,2.01,20.03,67.5,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",2,17.70,1.88,19.46,68.9,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",3,16.09,1.81,18.20,73.2,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",4,13.08,1.87,16.90,78.9,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",5,10.19,2.28,17.66,84.0,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",6,8.25,2.39,16.35,87.1,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",7,7.80,2.95,18.27,86.3,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",8,8.48,2.49,18.99,83.6,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",9,10.13,2.21,19.62,79.3,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",10,12.15,2.59,20.49,76.1,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",11,14.61,2.21,20.17,72.8,open-meteo-archive,2015-01-01..2024-12-31
"Aurora Stadium, Launceston",12,16.76,1.93,20.57,68.3,open-meteo-archive,2015-01-01..2024-12-31
"Radlett Cricket Club, Radlett",1,4.35,2.00,22.68,87.4,open-meteo-archive,2015-01-01..2024-12-31
"Radlett Cricket Club, Radlett",2,5.44,1.86,24.26,83.4,open-meteo-archive,2015-01-01..2024-12-31
