price_name,team,role_category,is_overseas,price_cr,price_norm,total_WAR,roi_basic,xWAR_price_only,vope_simple,xWAR_market_adj,vomam_score
Sandeep Sharma,Rajasthan Royals,unknown,0,4.0,3.3333333333333335,0.7279674493933879,0.21839023481801634,0.32398730687866506,0.4039801425147228,0.30551086501687513,0.42245658437651273
Shreyas Iyer,Punjab Kings,unknown,0,26.75,22.291666666666668,1.6992786748571198,0.07622932373190817,0.9939099160308751,0.7053687588262447,1.2830050325891,0.4162736422680198
Nicholas Pooran,Lucknow Super Giants,unknown,1,21.0,17.5,1.4262201138446762,0.08149829221969578,0.9401103457262712,0.486109768118405,1.0166213502532109,0.4095987635914653
Will Jacks,Mumbai Indians,unknown,1,5.25,4.375,0.7443713842912605,0.17014203069514525,0.39255727555623515,0.35181410873502533,0.3398946188570552,0.4044767654342053
Noor Ahmad,Chennai Super Kings,unknown,1,10.0,8.333333333333332,0.9461705601668968,0.11354046722002764,0.6194416878017039,0.3267288723651929,0.5439868076908163,0.4021837524760805
Eshan Malinga,Sunrisers Hyderabad,unknown,1,1.2,1.0,0.5594422433476598,0.5594422433476598,0.15698889790440865,0.4024533454432512,0.16587917364090088,0.3935630697067589
Nehal Wadhera,Punjab Kings,unknown,0,4.2,3.5000000000000004,0.7063146520372665,0.20180418629636185,0.3352066811103448,0.3711079709269217,0.3141042203361914,0.3922104317010751
Jaydev Unadkat,Sunrisers Hyderabad,unknown,0,1.0,0.8333333333333334,0.5668523979574299,0.6802228775489159,0.14435135656833745,0.4225010413890925,0.1766105352271312,0.3902418627302987
Varun Chakaravarthy,Kolkata Knight Riders,unknown,0,12.0,10.0,1.039476771382082,0.10394767713820821,0.6990175867174975,0.3404591846645846,0.6492450777895257,0.3902316935925564
Ajinkya Rahane,Kolkata Knight Riders,unknown,0,1.5,1.25,0.5836577781347273,0.4669262225077818,0.1757679390204665,0.4078898391142608,0.19809392352542182,0.3855638546093055
Yashasvi Jaiswal,Rajasthan Royals,unknown,0,18.0,15.0,1.2607772588183506,0.08405181725455671,0.8810185992892188,0.3797586595291318,0.9070457373690135,0.35373152144933706
Abishek Porel,Delhi Capitals,unknown,0,4.0,3.3333333333333335,0.6324913580075316,0.18974740740225948,0.32398730687866506,0.3085040511288666,0.30551086501687513,0.3269804929906565
Harshal Patel,Sunrisers Hyderabad,unknown,0,8.0,6.666666666666667,0.7944394180823122,0.11916591271234683,0.5304113415233008,0.2640280765590114,0.4773779714032004,0.31706144667911185
Maheesh Theekshana,Rajasthan Royals,unknown,1,4.4,3.6666666666666665,0.5875668484270086,0.16024550411645688,0.3463315108683984,0.24123533755861015,0.30337285874996106,0.2841939896770475
Matheesha Pathirana,Chennai Super Kings,unknown,1,13.0,10.833333333333334,0.9538104339922012,0.08804404006081858,0.7352601184144154,0.21855031557778581,0.6728871374805604,0.28092329651164083
Jofra Archer,Rajasthan Royals,unknown,1,12.5,10.416666666666668,0.926396052135134,0.08893402100497286,0.717434304046038,0.20896174808909596,0.6514037491822697,0.27499230295286425
Vaibhav Arora,Kolkata Knight Riders,unknown,0,1.8,1.5000000000000002,0.4752661644544099,0.3168441096362732,0.19433425507086566,0.28093190938354423,0.21098395650439622,0.26428220795001367
Sai Kishore,Gujarat Titans,unknown,0,2.0,1.6666666666666667,0.4552792897733123,0.2731675738639874,0.20659361851243244,0.24868567126087984,0.21957731182371248,0.2357019779495998
Rachin Ravindra,Chennai Super Kings,unknown,1,4.0,3.3333333333333335,0.5196771308317104,0.15590313924951313,0.32398730687866506,0.19568982395304535,0.2861861481113286,0.23349098272038182
Ayush Badoni,Lucknow Super Giants,unknown,0,4.0,3.3333333333333335,0.5330230103665002,0.15990690310995007,0.32398730687866506,0.20903570348783518,0.30551086501687513,0.2275121453496251
Pat Cummins,Sunrisers Hyderabad,unknown,1,18.0,15.0,1.0798390561402944,0.07198927040935296,0.8810185992892188,0.19882045685107563,0.8877210204634669,0.1921180356768275
Lockie Ferguson,Punjab Kings,unknown,1,2.0,1.6666666666666667,0.3789745762476636,0.22738474574859815,0.20659361851243244,0.17238095773523118,0.20025259491816594,0.17872198132949768
Angkrish Raghuvanshi,Kolkata Knight Riders,unknown,0,3.0,2.5,0.4280044127727531,0.17120176510910123,0.266472268615875,0.1615321441568781,0.2625440884202938,0.16546032435245928
Vijaykumar Vyshak,Punjab Kings,unknown,0,1.8,1.5000000000000002,0.3656298110125856,0.2437532073417237,0.19433425507086566,0.17129555594171997,0.21098395650439622,0.1546458545081894
Sameer Rizvi,Delhi Capitals,unknown,0,0.95,0.7916666666666665,0.3211834011701183,0.4057053488464653,0.14117719866031556,0.18000620250980273,0.1744621963973021,0.1467212047728162
Suyash Sharma,Royal Challengers Bengaluru,unknown,0,2.6,2.166666666666667,0.3844956075527809,0.17745951117820655,0.2428044419953763,0.1416911655574046,0.24535737778166128,0.13913822977111961
Travis Head,Sunrisers Hyderabad,unknown,1,14.0,11.666666666666666,0.852757537467528,0.0730935032115024,0.7691390382706811,0.08361849919684694,0.7158539140771416,0.13690362339038642
Shubham Dubey,Rajasthan Royals,unknown,0,0.8,0.6666666666666667,0.30130940527266,0.45196410790898994,0.13161927075864016,0.16969013451401982,0.16801717990781492,0.13329222536484506
Heinrich Klaasen,Sunrisers Hyderabad,unknown,1,23.0,19.166666666666668,1.2296483113581116,0.064155564070858,0.9676867841477106,0.261961527210401,1.1025549034463735,0.12709340791173807
Prince Yadav,Lucknow Super Giants,unknown,0,0.3,0.25,0.2648792228076946,1.0595168912307784,0.09937542416228275,0.16550379864541187,0.14653379160952426,0.11834543119817034
Ashutosh Sharma,Delhi Capitals,unknown,0,3.8,3.166666666666666,0.4110190327859542,0.12979548403766977,0.3126733881733592,0.09834564461259498,0.2969175096975588,0.11410152308839538
Mohit Sharma,Delhi Capitals,unknown,0,2.2,1.8333333333333333,0.3263614842020541,0.17801535501930224,0.21875843748037313,0.10760304672168094,0.22817066714302875,0.09819081705902533
Shubman Gill,Gujarat Titans,unknown,0,16.5,13.750000000000002,0.9323522322937584,0.0678074350759097,0.8434955361084904,0.08885669618526804,0.8425955724741416,0.08975665981961678
Harpreet Brar,Punjab Kings,unknown,0,1.5,1.25,0.2803270778133805,0.2242616622507044,0.1757679390204665,0.10455913879291401,0.19809392352542182,0.08223315428795869
Zeeshan Ansari,Sunrisers Hyderabad,unknown,0,0.4,0.33333333333333337,0.2267545159576133,0.6802635478728398,0.10587146571836728,0.12088305023924603,0.1508304692691824,0.07592404668843092
Shahrukh Khan,Gujarat Titans,unknown,0,4.0,3.3333333333333335,0.3775491632050921,0.11326474896152762,0.32398730687866506,0.053561856326427015,0.30551086501687513,0.07203829818821694
Jos Buttler,Gujarat Titans,unknown,1,15.75,13.125,0.8604139413612581,0.06555534791323872,0.8227397070275757,0.037674234333682444,0.791045773121159,0.06936816824009917
Harshit Rana,Kolkata Knight Riders,unknown,0,4.0,3.3333333333333335,0.3612533807561489,0.10837601422684466,0.32398730687866506,0.03726607387748382,0.30551086501687513,0.055742515739273746
