batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
dcce6f09,DA Warner,475.4608,0.0978,4864,145.1172,False,1727.13696,0.3550857236842105,16.086122440741338,0.0033071797781129
c4487b84,AB de Villiers,647.3051,0.1856,3487,419.2002,False,1544.6313273684211,0.4429685481412163,14.38631054357915,0.0041256984638884
ba607b88,V Kohli,-272.1436,-0.0405,6724,-403.3707,False,1458.175170526316,0.2168612686683991,13.581079483780602,0.0020197917138281
740742ef,RG Sharma,17.7512,0.0032,5509,-238.1857,False,1435.408265263158,0.2605569550305242,13.369034212246422,0.0024267624273455
db584dad,CH Gayle,497.7657,0.1405,3543,258.5561,False,1409.502672631579,0.3978274548776683,13.127755990181424,0.003705265591358
0a476045,S Dhawan,-137.0923,-0.025,5493,-489.6197,False,1276.4474094736845,0.2323770998495693,11.888512488297849,0.0021643022916981
1dc12ab9,SK Raina,174.6846,0.0417,4185,-226.2258,False,1251.6304736842108,0.2990753820033956,11.657373744261308,0.0027855134394889
271f83cd,SA Yadav,446.0119,0.1504,2965,361.5617,False,1209.0093947368423,0.4077603354930328,11.26041165591374,0.0037977779615223
1c17e270,RV Uthappa,175.8194,0.0446,3946,-152.3097,False,1191.2622715789475,0.3018910977138742,11.095119381646844,0.0028117383126322
4329fbb5,SR Watson,332.6285,0.1148,2897,70.3837,False,1078.127232631579,0.3721529971113493,10.041407874688296,0.0034661401017218
c03f1114,KD Karthik,123.3563,0.0333,3704,-48.9159,False,1076.524165263158,0.2906382735591679,10.026477305447752,0.0027069323178854
b17e2f24,KL Rahul,0.6024,0.0002,3989,-52.7103,False,1027.110665263158,0.2574857521341584,9.566252303242036,0.0023981580103389
8ba8195d,V Sehwag,540.8503,0.2951,1833,402.8996,False,1012.544872631579,0.5523976391879863,9.430590147232111,0.0051448936973443
a4cc73aa,SV Samson,95.8939,0.0275,3489,21.883,False,993.7347968421052,0.2848193742740342,9.255397797536174,0.002652736542716
99b75528,JC Buttler,250.3537,0.0872,2872,284.5871,False,989.4190642105264,0.3445052451986512,9.21520214129066,0.0032086358430677
4a8a2e3b,MS Dhoni,-108.6633,-0.0263,4124,-430.3442,False,952.585154736842,0.2309857310225126,8.872140304570506,0.0021513434298182
3355b542,F du Plessis,-12.9789,-0.0036,3640,-78.4219,False,923.7195421052631,0.2537691049739734,8.603293195237272,0.0023635420866036
919a3be2,RR Pant,261.143,0.1036,2521,190.5109,False,909.8838715789476,0.3609218054656674,8.474431214230234,0.0033615355867632
29e95537,AM Rahane,-175.1207,-0.0422,4148,-415.1495,False,892.3037884210528,0.2151166317312084,8.31069470881939,0.0020035426009689
bbd41817,AD Russell,436.7335,0.2673,1634,450.3537,False,857.21846,0.5246135006119952,7.983918719464918,0.0048861191673591
3c6ffae8,YK Pathan,207.042,0.0887,2334,24.9928,False,807.6612757894737,0.3460416777161412,7.5223554783952,0.0032229457919431
a757b0d8,KA Pollard,165.9935,0.0674,2461,29.2062,False,799.2942873684211,0.324784350820163,7.444427437181076,0.0030249603564327
bb345e0b,G Gambhir,-117.0455,-0.0332,3524,-412.1664,False,789.8021126315791,0.2241209173188363,7.356019691540712,0.0020874062688821
70d205c9,AT Rayudu,-129.9933,-0.0368,3534,-381.3553,False,779.4276600000001,0.2205511205432937,7.259394629862191,0.002054158072966
372455c4,Q de Kock,108.956,0.0428,2544,23.8962,False,763.6155705263159,0.3001633531943065,7.112124776220914,0.0027956465315333
b681e71e,GJ Maxwell,269.8855,0.1423,1896,215.2507,False,757.7921610526316,0.3996794098378858,7.057886994281341,0.0037225142374901
752f7486,Ishan Kishan,158.185,0.0698,2266,116.5473,False,741.3055136842106,0.3271427686161565,6.904334476821609,0.0030469260709715
85ec8e33,SS Iyer,-18.5442,-0.0063,2931,-76.1468,False,735.7039136842105,0.2510078177018801,6.85216257294199,0.0023378241463466
b4b99816,Shubman Gill,-39.0138,-0.0135,2882,8.6044,False,702.6249115789474,0.2437976792432156,6.544073005984426,0.0022706707168578
b8a55852,BB McCullum,81.308,0.0358,2272,-99.2472,False,665.9725221052632,0.2931217086730912,6.20270180122518,0.002730062412511
2b6e6dec,AC Gilchrist,254.0774,0.1634,1555,99.2229,False,654.2329157894737,0.4207285632086648,6.093362038962267,0.0039185607967603
