Ball calibrator: vector scaling (models/auto/d16/vector_scaling_calibrator_d16.pkl)
Loading stats provider + player metadata + model ...
StatsProvider: using SQLite backend player_stats_cache_i7.sqlite (56.7 MB)
Loading player metadata from data/all_players_enriched.csv...
  Loaded 11,256 players
  Batting: 8178 right, 1814 left, 1264 unknown
  Bowling: 6256 right, 1381 left, 3619 unknown
Loaded XGBoost v2 model with 114 features with real player stats with player metadata; venue encoder ACTIVE (373 venues)
Bowler selector: empirical
Run-out dismissal channel ACTIVE (p_runout=0.0751, nonstriker_share=0.4685)
Running prop backtest on 261 matches × 100 sims
B10 usage-aligned bowler selector ACTIVE (k_u=5.0)
  as-of corpus: /Users/aryamangupta/CricML/Match_Prediction/models/b10_usage_corpus.pkl (7433 players); min_eligible=5, min_share=0.01
  [34/261] 1493251                                                       sim_runs={'Sydney Thunder': 190.72, 'Melbourne Stars': 176.08}  actual_runs={'Sydney Thunder': 128, 'Melbourne Stars': 132}  (8.6s)
  [35/261] 1493252                                                       sim_runs={'Melbourne Renegades': 174.69, 'Hobart Hurricanes': 155.21}  actual_runs={'Melbourne Renegades': 162, 'Hobart Hurricanes': 163}  (8.8s)
  [36/261] 1493253                                                       sim_runs={'Perth Scorchers': 171.55, 'Sydney Thunder': 150.37}  actual_runs={'Perth Scorchers': 202, 'Sydney Thunder': 131}  (8.5s)
  [37/261] 1493254                                                       sim_runs={'Brisbane Heat': 177.1, 'Adelaide Strikers': 163.24}  actual_runs={'Brisbane Heat': 121, 'Adelaide Strikers': 125}  (8.4s)
  [38/261] 1493255                                                       sim_runs={'Melbourne Renegades': 174.18, 'Sydney Sixers': 163.67}  actual_runs={'Melbourne Renegades': 164, 'Sydney Sixers': 168}  (8.7s)
  [39/261] 1493256                                                       sim_runs={'Perth Scorchers': 174.48, 'Hobart Hurricanes': 157.1}  actual_runs={'Perth Scorchers': 229, 'Hobart Hurricanes': 189}  (8.6s)
  [40/261] 1493257                                                       sim_runs={'Melbourne Stars': 166.4, 'Brisbane Heat': 158.89}  actual_runs={'Melbourne Stars': 195, 'Brisbane Heat': 199}  (8.7s)
  [41/261] 1493258                                                       sim_runs={'Sydney Thunder': 171.7, 'Hobart Hurricanes': 153.95}  actual_runs={'Sydney Thunder': 205, 'Hobart Hurricanes': 207}  (8.7s)
  [42/261] 1493259                                                       sim_runs={'Melbourne Stars': 155.42, 'Melbourne Renegades': 150.43}  actual_runs={'Melbourne Stars': 173, 'Melbourne Renegades': 177}  (8.7s)
  [43/261] 1493260                                                       sim_runs={'Perth Scorchers': 156.46, 'Adelaide Strikers': 147.14}  actual_runs={'Perth Scorchers': 153, 'Adelaide Strikers': 120}  (8.6s)
