batter_id,batter_name,mean_war,std_war,ci_lower,ci_upper,n_samples,significant,ci_width
dcce6f09,DA Warner,8.043864008891733,1.4104860589234722,5.312480795885551,10.970373224069636,1000,True,5.657892428184085
c4487b84,AB de Villiers,7.072866786749372,1.4975573964429998,4.4264173650871985,10.137513776932911,1000,True,5.711096411845713
919a3be2,RR Pant,6.6889439685499985,1.354788741544377,4.1072391855669474,9.373920730039794,1000,True,5.2666815444728465
bbd41817,AD Russell,6.35701270218487,1.2921230192452782,3.8837389601839276,9.031820094871877,1000,True,5.148081134687949
99b75528,JC Buttler,5.851633961631674,1.1590310118995362,3.6799551930242327,8.241099384926253,1000,True,4.56114419190202
b17e2f24,KL Rahul,5.601397424825967,1.1609875336159672,3.444160890452494,7.955320012291954,1000,True,4.5111591218394596
ba607b88,V Kohli,5.082232519958794,1.1685591032459912,2.9147142797149135,7.353789935191191,1000,True,4.439075655476278
0a476045,S Dhawan,4.529380010866173,0.8701115514634344,2.9497152320724074,6.382516005665705,1000,True,3.4328007735932977
a4cc73aa,SV Samson,4.395343292351414,1.0167970035001335,2.4750438831491643,6.513554296819554,1000,True,4.038510413670389
c03f1114,KD Karthik,4.20221931500425,0.9042156359577951,2.554091233444171,6.017310211077986,1000,True,3.463218977633815
740742ef,RG Sharma,4.052594052438465,0.8882122156844682,2.4000559671258896,5.860223584456722,1000,True,3.460167617330832
db584dad,CH Gayle,4.03747459879385,1.0201917308668558,2.180365313569074,6.141604517992271,1000,True,3.9612392044231974
b681e71e,GJ Maxwell,3.9956778783189106,0.8200580312483764,2.3060413947266154,5.65984648002307,1000,True,3.3538050852964547
372455c4,Q de Kock,3.956569037834687,0.9130559351955299,2.295554072537944,5.883540133177055,1000,True,3.587986060639111
271f83cd,SA Yadav,3.95077220572048,0.8103746497938024,2.4411471773426423,5.56860363282395,1000,True,3.127456455481308
8b3e9c7c,PP Shaw,3.950618440967513,0.8084041499170084,2.4952033268026583,5.578506469388642,1000,True,3.0833031425859834
77255a9e,RA Tripathi,3.5832682923596244,0.7455388699352071,2.227561940623312,5.095710769432925,1000,True,2.868148828809613
3355b542,F du Plessis,3.5460364398683493,0.8032457827143408,1.9829034065201818,5.136042048850872,1000,True,3.1531386423306897
1c17e270,RV Uthappa,3.393281974434119,0.8460667426668954,1.7640278949203887,5.123499689606604,1000,True,3.3594717946862147
b8a55852,BB McCullum,3.2235519838774347,0.7692055531045792,1.8992273082584876,4.9202463944220085,1000,True,3.0210190861635207
b5da6c24,PA Patel,3.0637908689321156,0.6408875536704982,1.9089763801496262,4.424242838088947,1000,True,2.5152664579393207
fb2d1dda,N Rana,3.042893992609884,0.7459100439663109,1.5507358498278416,4.51265600054692,1000,True,2.961920150719078
9d430b40,SP Narine,3.042848872605196,0.7561083919974421,1.5927828936120318,4.577251724345436,1000,True,2.9844688307334035
1dc12ab9,SK Raina,2.993821953320951,0.8196424816591382,1.5035823658246248,4.65283494660854,1000,True,3.149252580783916
4329fbb5,SR Watson,2.9932742151922134,0.9480242723983489,1.3109095162331013,4.925914087279424,1000,True,3.615004571046323
85ec8e33,SS Iyer,2.9166788220415323,0.829508728667651,1.385923172071553,4.589749753681949,1000,True,3.203826581610396
a757b0d8,KA Pollard,2.8409039371273015,1.088539337280022,0.8522651207713953,5.18444498982946,1000,True,4.332179869058065
45eda7c8,CA Lynn,2.8323964541995728,0.7589031336176202,1.4595626295609938,4.462046784013332,1000,True,3.002484154452339
70d205c9,AT Rayudu,2.7819275474897953,0.9550972326110818,1.027510042477966,4.689045465007186,1000,True,3.66153542252922
29e95537,AM Rahane,2.712264551378491,0.6639132025085388,1.4896872863273656,4.091852086857934,1000,True,2.602164800530568
dbe50b21,HH Pandya,2.6665233551788226,0.8360885248676652,1.0813202807431412,4.310985895074237,1000,True,3.229665614331095
35205dfc,DR Smith,2.3784116788815783,0.6678923713323619,1.2355815805997115,3.819339753649538,1000,True,2.5837581730498265
752f7486,Ishan Kishan,2.3377580808096403,0.8677313215001572,0.7955255224704532,4.22815130123817,1000,True,3.432625778767717
abb83e27,JM Bairstow,2.160478264320899,0.7659748860724054,0.8062647147416176,3.7273466795915793,1000,True,2.9210819648499617
00ea847a,MA Agarwal,2.1554963691115794,0.6465010932224663,1.003570672375748,3.5207644779535183,1000,True,2.5171938055777705
45a43fe2,RD Gaikwad,2.043697887109722,0.7247252882871706,0.7921622985461299,3.60794476400419,1000,True,2.81578246545806
b4b99816,Shubman Gill,2.0075919884602946,0.5961968511957636,0.8867455036333453,3.3216852621140758,1000,True,2.4349397584807306
5b8c830e,KH Pandya,1.9419453127257351,0.6724183145012965,0.6909425996529248,3.3417549582668657,1000,True,2.650812358613941
b8d490fd,AJ Finch,1.8925440912645006,0.6162929937039966,0.7761122365066713,3.204384667244919,1000,True,2.4282724307382475
fe11caa6,WP Saha,1.7814690335973873,0.5714615629023135,0.6663425255755066,2.944515032452058,1000,True,2.2781725068765515
fb66ce1f,CH Morris,1.7539887127391145,0.6617535514708638,0.5882877859248052,3.1478312311190275,1000,True,2.5595434451942225
bb351c23,MM Ali,1.7019415041679895,0.5518007675425706,0.6925015457605945,2.851851670783289,1000,True,2.1593501250226943
50c6bc2b,LS Livingstone,1.6348725303364733,0.5777941024995387,0.6379384164589342,2.8659470533106797,1000,True,2.2280086368517455
2e171977,AR Patel,1.5578814845528894,0.5441123853673909,0.5006096426154737,2.630243783746466,1000,True,2.1296341411309925
d027ba9f,KS Williamson,1.4961435911776488,0.8087094421335442,0.010679931247219427,3.1592898574280777,1000,True,3.148609926180858
4a8a2e3b,MS Dhoni,1.4863445232178916,0.9941825049729726,-0.36747532803150906,3.4736075989673836,1000,False,3.841082926998893
d67d5f00,DA Miller,1.4267488670459547,0.8409209822041335,-0.008096775030120587,3.2352218691055215,1000,False,3.243318644135642
93b4fc78,MK Pandey,1.4109394724497508,0.7134915884786875,0.0455881967633229,2.9630576462392884,1000,True,2.9174694494759654
6c19c6e5,YBK Jaiswal,1.3564072506296316,0.4661957645976913,0.5800767013146217,2.3944842011746212,1000,True,1.8144074998599995
944533a5,KK Nair,1.3236576101391102,0.5660599962790512,0.290140992748746,2.531684904612028,1000,True,2.2415439118632823
73ad96ed,DJ Hooda,1.2593792089038365,0.598776465905422,0.14013400783517907,2.5122377623110026,1000,True,2.3721037544758237
32198ae0,MC Henriques,1.204956189984627,0.5469865744515884,0.29052758857409927,2.365319566777881,1000,True,2.074791978203782
0ebfb1ad,E Lewis,1.1833815201609172,0.5361977515812683,0.2318709370207002,2.276575509276204,1000,True,2.0447045722555037
4b57e452,M Vijay,1.1697383211170407,0.38878416717368397,0.41976859941332134,1.9049125091140546,1000,True,1.4851439097007333
30a45b23,SPD Smith,1.1615941696652567,0.6263519159214108,0.06982042219957511,2.4642243518408367,1000,True,2.3944039296412614
3c6ffae8,YK Pathan,1.138099561347271,0.5979403229161678,0.028044855234551382,2.403481544577448,1000,True,2.375436689342896
f29185a1,Abhishek Sharma,1.128668968011953,0.4538758461954595,0.32683040657708534,2.144131508553002,1000,True,1.8173011019759169
508a1ea7,SE Marsh,1.1133998943679633,0.4972109115115002,0.24968422394452064,2.2054362467979303,1000,True,1.9557520228534095
48a1d7b7,SO Hetmyer,1.112245536618503,0.5137514194952051,0.15069602060086734,2.138418230134047,1000,True,1.9877222095331797
87e562a9,DJ Bravo,1.032757664910227,0.5157309702290994,0.1345260856266038,2.140261599270101,1000,True,2.005735513643497
c03e2850,M Vohra,1.0243395318659203,0.5279840043397631,0.18557896895794437,2.2024301729241986,1000,True,2.016851203966254
a24be938,VR Iyer,0.9862766603687357,0.41821728890133175,0.23380117408930512,1.8595766604930608,1000,True,1.6257754864037557
e798611a,HM Amla,0.9723151409040955,0.5177050040760006,0.08630195152341134,2.11806632940659,1000,True,2.0317643778831784
6a26221c,AK Markram,0.9037482639235213,0.3993876703480397,0.19042855831143093,1.7469101835304248,1000,True,1.556481625218994
2c25d4f5,D Padikkal,0.8808479246249262,0.49024800472634045,-0.04151525367995716,1.8578538122669157,1000,False,1.899369065946873
e087956b,BA Stokes,0.8745071187512343,0.557066435613408,-0.10548130829747737,2.047071485593862,1000,False,2.1525527938913394
a4e37e47,S Dube,0.8709570946791413,0.5377192379938198,-0.10649119279343072,2.003806251541596,1000,False,2.1102974443350266
495d42a5,R Ashwin,0.8619631708939044,0.35864835049892024,0.24024729679140192,1.5868554672962625,1000,True,1.3466081705048605
c740ea83,RM Patidar,0.8445024463578226,0.4933061245328006,0.11537559085377977,1.9841615659537382,1000,True,1.8687859750999585
c3a96caf,Mandeep Singh,0.8401517697843484,0.43625314599655907,0.06941514046368293,1.7562274087056269,1000,True,1.686812268241944
5f547c8b,Rashid Khan,0.8390701199910113,0.43576877045906187,0.05230819383004862,1.7442776651253566,1000,True,1.691969471295308
f088b960,SN Khan,0.7968076786037024,0.42608599772215255,0.013051487987383809,1.6948553627337346,1000,True,1.6818038747463508
800d2d97,JM Sharma,0.79443153099384,0.2988169299693098,0.2817886974446309,1.4612788203461564,1000,True,1.1794901229015256
bb345e0b,G Gambhir,0.7833975088531224,0.4428630831108794,-0.08041018957656619,1.667614719470149,1000,False,1.748024909046715
c16d4035,SW Billings,0.7636427779043785,0.44372687964255514,0.026009959465937614,1.7419562512496798,1000,True,1.7159462917837423
ded9240e,PJ Cummins,0.725095267560148,0.45302110241416815,-0.004880024418684253,1.6953142548489428,1000,False,1.700194279267627
f1f99156,TH David,0.7120655981120312,0.36854104115330427,0.06881249037100254,1.506352436886511,1000,True,1.4375399465155085
2be41edb,MJ Guptill,0.6923654122417816,0.3415467120048477,0.11570408445886825,1.3826855158337794,1000,True,1.2669814313749113
650d5e49,R Powell,0.6224676720758029,0.3653047800492355,-0.0006787215811293275,1.447380051980123,1000,False,1.4480587735612522
2e11c706,BCJ Cutting,0.6105194299647942,0.28562957089779795,0.10967131767592882,1.2149017396788437,1000,True,1.105230422002915
