bowler_id,bowler_name,mean_war,std_war,ci_lower,ci_upper,n_samples,significant,ci_width
462411b3,JJ Bumrah,9.24364823581276,1.2273963151285459,6.833783111541698,11.677966237016069,1000,True,4.844183125474371
9d430b40,SP Narine,8.20316170993187,1.1056790130922236,6.271833104269888,10.492177963882552,1000,True,4.2203448596126645
5f547c8b,Rashid Khan,7.475019550489192,1.0120799389011343,5.571337885262122,9.474927355023533,1000,True,3.9035894697614113
2e81a32d,B Kumar,6.948138879758799,1.0755403091918603,4.832161883224788,9.07218647615641,1000,True,4.240024592931623
57ee1fde,YS Chahal,6.351002333806998,1.0257556705007516,4.463966283752001,8.347747973206143,1000,True,3.8837816894541426
495d42a5,R Ashwin,5.380085044617285,0.8744534380818142,3.705079329614639,7.17970785778195,1000,True,3.474628528167311
87e562a9,DJ Bravo,5.050293956095683,1.0363153626533697,3.017526732029355,7.078409368345629,1000,True,4.060882636316274
ce820073,Sandeep Sharma,4.367980410098876,0.8769119168785464,2.7106535400128595,6.195659404300346,1000,True,3.4850058642874866
2e171977,AR Patel,4.083446565675901,0.8394406316405547,2.4889221590677675,5.6595421785987075,1000,True,3.17062001953094
5b8c830e,KH Pandya,3.998964024576108,0.8459024957208916,2.4509490600325794,5.751866992608342,1000,True,3.3009179325757625
fe93fd9d,RA Jadeja,3.7433603528992294,0.8507218289896178,2.0934341249584176,5.508013221168841,1000,True,3.414579096210423
6b19d823,A Mishra,3.6381605945662705,0.7642592584125044,2.204102293206577,5.154900239500306,1000,True,2.9507979462937293
f986ca1a,HV Patel,3.6343902421786707,0.811022037085947,2.0489013429688328,5.253538933770835,1000,True,3.204637590802002
fb66ce1f,CH Morris,3.6291705184946754,0.7715134862476124,2.1929699146357904,5.110415303554424,1000,True,2.9174453889186336
0a8fce53,Mustafizur Rahman,3.598056551920274,0.8220910347899382,2.0826277973903005,5.27281326495998,1000,True,3.19018546756968
51a3c5ef,MJ McClenaghan,3.5110449689815257,0.8161286283776648,1.9387223156502398,5.1662332279597605,1000,True,3.227510912309521
cc1e8c68,UT Yadav,3.1282289278824993,0.7525142561253516,1.6246263303195627,4.658597738250798,1000,True,3.0339714079312348
2ed569a0,RD Chahar,2.9495121993000586,0.7114948259563348,1.6316387712145708,4.314875543584728,1000,True,2.683236772370157
acee4cc4,Imran Tahir,2.6423867803233403,0.6934217252752957,1.3590326786580984,3.9877610599793973,1000,True,2.6287283813212987
a12e1d51,SL Malinga,2.633513906676875,0.6628809426910874,1.3639753490712627,4.0863448119076216,1000,True,2.722369462836359
e62dd25d,K Rabada,2.629583915252577,0.6977566015972713,1.2993186736844302,3.978386696581362,1000,True,2.6790680228969315
85e0cf10,M Prasidh Krishna,2.6029380533496567,0.665547856317411,1.3908796185308077,3.970420321623654,1000,True,2.5795407030928468
dbe50b21,HH Pandya,2.51477928526603,0.6639077253300815,1.314321913426962,3.817868377831169,1000,True,2.5035464644042067
8b5b6769,Harbhajan Singh,2.471784265575405,0.6768945687376579,1.2333981280329513,3.8020159014290713,1000,True,2.56861777339612
2f49c897,Mohammed Siraj,2.4501095016930665,0.635601015145465,1.2416383062718916,3.627614577375721,1000,True,2.3859762711038295
8cf9814c,Mohammed Shami,2.4472365222709787,0.745319807455669,1.061307503582104,4.013228882038257,1000,True,2.951921378456153
e2db2409,M Ashwin,2.4203205724403722,0.6109348193575493,1.2577059468921592,3.6102802854830887,1000,True,2.3525743385909292
8d2c70ad,Kuldeep Yadav,2.246781248500577,0.6634848905252372,1.0222231512347524,3.5773780512549522,1000,True,2.5551549000201996
5574750c,JC Archer,2.0909144503637505,0.6579861473632809,0.8613124822933285,3.4529325046502968,1000,True,2.5916200223569685
7c7d63a2,AJ Tye,2.065635639737054,0.5403368279118728,1.070394654044218,3.125386325602341,1000,True,2.054991671558123
a818c1be,TA Boult,2.062618952447484,0.7156230351877928,0.7531396367823656,3.5179761570723875,1000,True,2.764836520290022
4329fbb5,SR Watson,2.0287560397650095,0.6920880423971195,0.6215690260217444,3.375137509903727,1000,True,2.7535684838819825
bbd41817,AD Russell,1.9656810172388164,0.711632691012547,0.5305507374935385,3.3121302323517767,1000,True,2.781579494858238
13c35c9e,TG Southee,1.9315144274557767,0.5799779453099753,0.8041537179553955,3.0568139656580726,1000,True,2.252660247702677
91a4a398,Z Khan,1.922090830530958,0.5138900325450201,0.9989813952095676,3.022931132469974,1000,True,2.0239497372604065
dcf81436,S Kaul,1.880707965989309,0.6218704119465405,0.6876234105886285,3.127380099095954,1000,True,2.439756688507326
