bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
fd835ab3,DJ Hussey,-70.3838,-0.2179,323,26.492,True
8ba8195d,V Sehwag,-70.6527,-0.512,138,51.0059,True
35205dfc,DR Smith,-71.8751,-0.129,557,49.3743,True
5b040b81,A Singh,-73.0362,-0.1503,486,-4.9373,True
034b4b7d,VRV Singh,-73.3431,-0.1977,371,57.2719,True
765a4731,Mukesh Choudhary,-74.6577,-0.2235,334,82.7799,True
c5aef772,R Shepherd,-75.5447,-0.3388,223,88.9029,True
e86754b2,TK Curran,-76.1606,-0.3022,252,65.107,True
e32d22f6,Pankaj Singh,-81.9994,-0.2637,311,56.8371,True
d8b2f218,BB Sran,-89.7687,-0.174,516,64.6297,True
871e9faf,Basil Thampi,-94.936,-0.1761,539,92.143,True
0a67aec0,Akash Deep,-98.1725,-0.3251,302,118.3089,True
90de905a,K Gowtham,-100.742,-0.1682,599,45.2424,True
f9e6e7ef,Shahbaz Ahmed,-117.8653,-0.1932,610,105.8401,True
ae78bc32,MS Gony,-121.1798,-0.131,925,56.1128,True
12314277,Arshad Khan,-134.4199,-0.2326,578,180.2339,True
d9273ee7,MP Stoinis,-157.4325,-0.1708,922,170.0876,True
119678fd,KV Sharma,-222.532,-0.1381,1611,74.9119,True
