bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
e342e5fb,CR Brathwaite,1.2055,0.0045,266,-0.1332,False
26989d80,Shashank Singh,0.5972,0.0459,13,-0.2871,False
b0482a1d,Tilak Varma,0.1014,0.0084,12,-0.8415,False
af2c687b,C Munro,0.0436,0.0036,12,0.5202,False
26e5cabf,MK Tiwary,-0.0513,-0.0073,7,-0.9602,False
f18ba07f,Ankit Soni,-0.162,-0.0014,112,-3.9512,False
d027ba9f,KS Williamson,-0.1835,-0.0306,6,-0.1453,False
f708a0bc,GB Hogg,-0.4312,-0.0019,225,-14.2991,False
4b57e452,M Vijay,-0.4513,-0.0146,31,-4.7209,False
dec8e038,J Theron,-0.4834,-0.0186,26,0.8355,False
fe93fd9d,RA Jadeja,-0.7601,-0.0004,1813,-212.9451,False
11614d87,D Pretorius,-1.1903,-0.0086,138,3.7165,False
c6097d68,O Thomas,-1.204,-0.0191,63,-3.9974,False
896d78ad,AD Mathews,-1.239,-0.0057,216,-0.5655,False
626c5379,R Sathish,-1.2666,-0.0333,38,0.919,False
2c76b512,DJ Muthuswami,-1.502,-0.0179,84,-2.9654,False
81049310,J Yadav,-1.5676,-0.0047,332,-56.5576,False
94253925,GH Vihari,-1.7401,-0.29,6,1.2034,False
e412cb64,HF Gurney,-1.8769,-0.0111,169,1.713,False
f0f628c7,MM Patel,-1.9658,-0.0468,42,1.412,False
9a46c4e5,GD Phillips,-1.9956,-0.1535,13,-1.0397,False
f24c6701,M Theekshana,-2.5773,-0.0122,212,-18.3436,False
77255a9e,RA Tripathi,-2.8065,-0.4677,6,2.6602,False
d3611425,LI Meriwala,-2.8264,-0.1488,19,3.105,False
f088b960,SN Khan,-2.8758,-1.4379,2,2.8077,False
983f2f61,Swapnil Singh,-3.0777,-0.0505,61,1.0223,False
9eb1455b,NT Ellis,-3.1752,-0.0294,108,-4.9623,False
21d4e29b,Navdeep Saini,-3.302,-0.0091,363,14.5208,False
844e79d1,D Brevis,-3.4305,-1.1435,3,3.2449,False
f6d8a7ab,K Kartikeya,-3.646,-0.0467,78,-3.9669,False
ad427b5c,Lalit Yadav,-3.6576,-0.0189,194,-5.2248,False
7210d461,Yash Dayal,-3.8112,-0.0186,205,1.5126,False
da934ee8,MK Lomror,-3.813,-0.0522,73,-5.9268,False
249abedf,Jalaj S Saxena,-4.0804,-0.2267,18,2.615,False
6834d1f2,B Stanlake,-4.1094,-0.0274,150,4.9534,False
740742ef,RG Sharma,-4.1546,-0.5935,7,2.583,False
030f3089,K Yadav,-4.3063,-0.3589,12,0.7362,False
76388dc8,S Badree,-4.4134,-0.0292,151,3.4773,False
c28e9f12,Tejas Baroka,-4.5053,-0.2145,21,2.2967,False
8e514b4c,Abdul Samad,-4.5998,-0.3833,12,1.7321,False
33ffc3dd,R Sanjay Yadav,-4.7211,-0.3372,14,3.2687,False
fef92afc,SC Kuggeleijn,-5.1125,-0.1022,50,-0.084,False
6c19c6e5,YBK Jaiswal,-5.1425,-5.1425,1,5.104,False
7c503806,J Botha,-5.3127,-0.0857,62,3.4432,False
378daa89,Aman Hakim Khan,-5.3179,-0.8863,6,5.8415,False
cfa4bd2b,Y Prithvi Raj,-5.5091,-0.1669,33,4.9912,False
e9c7f0d0,Fazalhaq Farooqi,-5.713,-0.0752,76,5.8888,False
2f9d0389,LH Ferguson,-5.7849,-0.0085,678,-12.7352,False
fb693839,S Ladda,-5.892,-0.491,12,4.7972,False
46a9bea1,TU Deshpande,-5.9105,-0.1375,43,5.3716,False
650d5e49,R Powell,-5.9831,-0.8547,7,6.594,False
24d94623,Ankit Sharma,-6.3437,-0.0378,168,-16.5384,False
b8527c3d,Rasikh Salam,-6.6083,-0.1296,51,6.5548,False
1cb14aa4,CJ Dala,-6.6797,-0.3516,19,7.11,False
fdf7491e,IC Porel,-6.8838,-0.2648,26,3.5228,False
ae78bc32,MS Gony,-7.1601,-0.4773,15,7.5011,False
f29185a1,Abhishek Sharma,-7.3411,-0.0734,100,-13.3673,False
6c6591ab,PP Ojha,-7.469,-0.6224,12,7.1715,False
b483905d,Akash Singh,-7.7891,-0.3245,24,6.8028,False
a316d663,GC Viljoen,-7.8436,-0.0537,146,12.8083,False
2af1b6d2,AN Ahmed,-7.875,-0.1036,76,12.072,False
c3a96caf,Mandeep Singh,-8.0592,-0.6716,12,7.4724,False
fa2f1dde,K Khejroliya,-8.174,-0.0809,101,15.6166,False
96fd40ae,A Nehra,-8.6033,-0.0127,678,-31.2803,False
9a963804,LE Plunkett,-8.7639,-0.0569,154,8.1602,False
ade90de7,S Midhun,-8.8415,-0.6801,13,7.522,False
2f49c897,Mohammed Siraj,-8.9647,-0.0073,1230,-10.7432,False
f62772e5,P Negi,-9.0811,-0.0171,531,-38.0977,False
2e8994e7,JP Duminy,-9.269,-0.0552,168,-11.7171,False
e938e1bc,P Kumar,-10.1343,-0.0154,657,8.6997,False
b51f72a5,SS Agarwal,-10.1879,-0.4245,24,9.2188,False
c3d1402f,RP Singh,-10.6905,-0.1407,76,9.7427,True
f846de6a,MN Samuels,-10.808,-0.6004,18,8.9885,False
eade4650,DJ Mitchell,-11.107,-0.8544,13,10.9313,False
cd8d2859,DG Nalkande,-11.2074,-0.3396,33,12.2493,False
77b1aa15,Harshit Rana,-11.309,-0.3648,31,11.1782,False
a24be938,VR Iyer,-11.4477,-0.1468,78,2.9361,True
b681e71e,GJ Maxwell,-11.6105,-0.0202,576,-57.9554,False
9a158001,Azhar Mahmood,-12.167,-0.6084,20,13.6944,False
c05edf8e,Harpreet Brar,-12.3512,-0.0456,271,-30.8312,False
a4e37e47,S Dube,-12.6291,-0.2255,56,4.971,False
aa8d28ae,D Wiese,-12.6389,-0.0437,289,8.9648,False
5fa06777,IK Pathan,-12.8515,-0.2142,60,6.5334,True
5b16a806,A Dananjaya,-12.9642,-0.5186,25,11.4723,False
1558d83b,GS Sandhu,-13.6169,-0.2837,48,12.4466,False
be869ccf,GHS Garton,-13.6699,-0.1409,97,-1.6197,True
249d60c9,AU Rashid,-13.7869,-0.7659,18,10.6738,False
81c36ee9,M Jansen,-13.8031,-0.0573,241,6.1201,False
b4f5c2d9,KL Nagarkoti,-13.8341,-0.5534,25,14.5658,False
9219eff0,JDS Neesham,-13.8366,-0.1922,72,7.2317,True
