batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs,is_replacement
04a418e8,R Parag,-41.1545,-0.0356,1157,-0.4501,False
c654af19,R McLaren,-41.2988,-0.232,178,-57.3549,True
605b7efa,MC Juneja,-42.7246,-0.3188,134,-50.222,True
bb18be76,SK Warne,-42.7632,-0.1953,219,-66.2621,True
f846de6a,MN Samuels,-42.7776,-0.2458,174,-64.019,True
6eb146d2,Gurkeerat Singh,-43.5381,-0.0999,436,-69.3918,False
57efa3be,SB Styris,-43.9573,-0.328,134,-55.031,True
89f64c19,LMP Simmons,-45.8222,-0.0522,878,-99.6161,False
57ee1fde,YS Chahal,-46.3961,-0.5213,89,-49.6686,True
cf73ad76,JEC Franklin,-46.5259,-0.1506,309,-72.1238,True
2728e7e9,P Dogra,-47.1468,-0.3344,141,-55.4988,True
f5180fe6,MG Johnson,-47.1788,-0.2808,168,-57.398,True
afa7e784,MS Wade,-47.2071,-0.2552,185,-41.9967,True
896d78ad,AD Mathews,-47.6886,-0.0796,599,-103.9663,False
9d80c5e1,S Nadeem,-48.619,-0.5525,88,-56.4497,True
c8f5f961,Anuj Rawat,-49.7049,-0.1782,279,-37.7099,True
81c36ee9,M Jansen,-49.9368,-0.3672,136,-42.6652,True
662c47a6,Y Nagar,-50.6938,-0.1871,271,-74.9602,True
d5130a30,B Sai Sudharsan,-51.7267,-0.0404,1279,59.7519,False
7c503806,J Botha,-51.8287,-0.1424,364,-98.0884,True
7d415ea5,RT Ponting,-54.218,-0.4203,129,-61.3791,True
7ca5e05d,RS Bopara,-54.9435,-0.1174,468,-100.7259,False
30a45b23,SPD Smith,-55.2266,-0.0275,2007,-234.6012,False
5fa06777,IK Pathan,-55.7104,-0.0566,985,-155.3899,False
48fd7349,MEK Hussey,-56.2455,-0.0341,1648,-220.828,False
6a26221c,AK Markram,-56.3353,-0.0511,1102,-10.1603,False
5b8c830e,KH Pandya,-56.5652,-0.0411,1377,-94.5136,False
541f85c9,SP Goswami,-57.7683,-0.1882,307,-89.5019,True
d84378a4,M Kaif,-60.1007,-0.2329,258,-78.2533,True
bd54eef5,N Jagadeesan,-60.5694,-0.3834,158,-48.8618,True
f9e6e7ef,Shahbaz Ahmed,-61.2649,-0.1271,482,-43.209,False
fe763256,Y Venugopal Rao,-61.5712,-0.0712,865,-142.4026,False
c42aaf71,M Manhas,-62.5399,-0.1287,486,-120.7153,False
8291f939,AL Menaria,-62.9971,-0.1717,367,-104.1058,True
872b03f7,A Badoni,-63.0624,-0.0852,740,-18.9721,False
d18f9182,DPMD Jayawardene,-64.8546,-0.0426,1522,-187.7319,False
7dc35884,Shakib Al Hasan,-65.4889,-0.0985,665,-124.8462,False
fe11caa6,WP Saha,-68.1217,-0.0287,2373,-149.2832,False
98ae73b1,PP Chawla,-68.1574,-0.1175,580,-110.5946,False
d014d5ac,SE Rutherford,-68.8158,-0.2178,316,-55.0306,True
2e8994e7,JP Duminy,-70.4875,-0.042,1680,-258.0776,False
c3a96caf,Mandeep Singh,-70.9255,-0.0497,1427,-137.4122,False
fd835ab3,DJ Hussey,-72.1811,-0.0656,1101,-159.7137,False
7bf96684,OA Shah,-73.1528,-0.1806,405,-109.6335,True
0c94f480,UBT Chand,-73.4711,-0.234,314,-99.1845,True
b57f8a9a,BJ Hodge,-73.7971,-0.064,1153,-215.1143,False
495d42a5,R Ashwin,-74.4508,-0.1018,731,-95.4876,False
5afd4539,MS Bisla,-75.6047,-0.1026,737,-129.9472,False
f19ccfad,Washington Sundar,-75.9441,-0.1783,426,-69.0805,True
d67d5f00,DA Miller,-76.4077,-0.0332,2299,-126.816,False
72861603,GC Smith,-76.6618,-0.1109,691,-150.2495,False
8d2c70ad,Kuldeep Yadav,-80.803,-0.3312,244,-73.4058,True
ad427b5c,Lalit Yadav,-84.5607,-0.2809,301,-77.2339,True
0184dc35,R Dravid,-85.6352,-0.0446,1918,-277.5832,False
1c914163,Yuvraj Singh,-85.7369,-0.0388,2207,-323.3331,False
6b19d823,A Mishra,-87.6237,-0.1991,440,-114.7913,True
d4f9dbd4,CA Pujara,-91.4983,-0.227,403,-120.6721,True
2a2e6343,DT Christian,-93.5308,-0.2292,408,-127.5036,True
3576e47e,S Badrinath,-93.6097,-0.0752,1245,-210.9777,False
73ad96ed,DJ Hooda,-98.8043,-0.0815,1213,-135.8449,False
e1d1b294,HH Gibbs,-101.0979,-0.1208,837,-194.6947,False
4a8a2e3b,MS Dhoni,-108.6633,-0.0263,4124,-430.3442,False
2e81a32d,B Kumar,-114.4877,-0.3103,369,-120.0817,True
0994d0ae,V Shankar,-115.4899,-0.1172,985,-129.6681,False
bb345e0b,G Gambhir,-117.0455,-0.0332,3524,-412.1664,False
99d63244,KM Jadhav,-118.5078,-0.1166,1016,-176.0602,False
5bdcdb72,TM Dilshan,-122.3645,-0.1169,1047,-226.9885,False
94253925,GH Vihari,-122.8763,-0.3712,331,-149.6554,True
fe93fd9d,RA Jadeja,-125.4935,-0.048,2614,-279.5693,False
890946a0,NV Ojha,-125.8646,-0.0925,1360,-251.6214,False
70d205c9,AT Rayudu,-129.9933,-0.0368,3534,-381.3553,False
0a476045,S Dhawan,-137.0923,-0.025,5493,-489.6197,False
709b0bac,SS Tiwary,-146.284,-0.1133,1291,-263.9072,False
d027ba9f,KS Williamson,-150.4138,-0.0862,1745,-264.6842,False
29e95537,AM Rahane,-175.1207,-0.0422,4148,-415.1495,False
2c25d4f5,D Padikkal,-185.8556,-0.1239,1500,-204.6327,False
d2c2b2d5,SR Tendulkar,-190.6931,-0.0933,2044,-352.2948,False
725529bc,SC Ganguly,-197.5992,-0.149,1326,-340.8454,True
26e5cabf,MK Tiwary,-203.0676,-0.1364,1489,-311.9723,False
ba607b88,V Kohli,-272.1436,-0.0405,6724,-403.3707,False
93b4fc78,MK Pandey,-326.587,-0.0968,3374,-556.0337,False
86dc8f2e,JH Kallis,-373.4743,-0.163,2291,-595.0535,True
