player_name,WAR,VORP,RAA,balls,auction_price_cr,team,role,war_per_crore,est_matches,war_per_match,war_per_cr_per_match,vorp_per_crore,value_category
Aniket Verma,0.619498958588883,66.51560318368837,28.430062131056793,148,0.3,Sunrisers Hyderabad,Batter,2.06499652862961,11.384615384615385,0.05441544906523973,0.18138483021746576,221.71867727896125,Bargain
Priyansh Arya,1.880232148829464,201.88052581981955,120.30541424087218,317,3.8,Punjab Kings,Batter,0.49479793390249055,24.384615384615383,0.07710731209710736,0.02029139792029141,53.12645416311041,Bargain
Sandeep Sharma,0.7213530127605325,77.45167298009838,20.056560735200417,243,4.0,Rajasthan Royals,Bowler,0.18033825319013314,11.045454545454545,0.06530768016762023,0.016326920041905058,19.362918245024595,Bargain
Naman Dhir,0.8327654389140456,89.41402517620108,52.87249254462212,142,5.25,Mumbai Indians,Batter,0.15862198836458014,10.923076923076923,0.07623908947804643,0.014521731329151702,17.031242890704966,Bargain
Abishek Porel,0.6324913580075316,67.91059710926868,12.06895921453183,217,4.0,Delhi Capitals,Batter,0.1581228395018829,16.692307692307693,0.03789118734607332,0.00947279683651833,16.97764927731717,Good Value
Shashank Singh,0.8556557076154844,91.87175332667456,30.626085958253498,238,5.5,Punjab Kings,Batter,0.15557376502099715,18.307692307692307,0.04673749663445923,0.00849772666081077,16.703955150304466,Good Value
Kuldeep Yadav,1.4926788244730194,160.2689253836681,83.74210905713745,324,13.25,Delhi Capitals,Bowler,0.11265500562060524,14.727272727272727,0.10135473499508156,0.007649413961892948,12.095767953484383,Good Value
Abhishek Sharma,1.4545052345114453,156.1702270294939,93.89522071370442,242,14.0,Sunrisers Hyderabad,Batter,0.10389323103653181,18.615384615384617,0.07813457871342475,0.005581041336673196,11.155016216392422,Good Value
Noor Ahmad,1.0110455365024558,108.55595925426869,33.44630619304419,318,10.0,Chennai Super Kings,Bowler,0.10110455365024558,14.454545454545455,0.06994654655048436,0.006994654655048437,10.855595925426869,Fair Value
KL Rahul,1.1684811838289684,125.45982470771634,28.701963655084757,376,14.0,Delhi Capitals,Batter,0.08346294170206917,28.923076923076923,0.04039961539834199,0.002885686814167285,8.961416050551167,Fair Value
Ishan Kishan,0.6718706482948995,72.13875150742336,8.834406244265463,246,11.25,Sunrisers Hyderabad,Batter,0.05972183540399107,18.923076923076923,0.03550535946273859,0.0031560319522434305,6.412333467326521,Fair Value
Shubman Gill,0.9323522322937584,100.10665918138083,-11.833951344934963,435,16.5,Gujarat Titans,Batter,0.05650619589659142,33.46153846153846,0.027863400045560597,0.0016886909118521574,6.06707025341702,Fair Value
Mohammed Siraj,0.6838297563782061,73.422800942328,-13.2603521188965,367,12.25,Gujarat Titans,Bowler,0.055822837255363765,16.681818181818183,0.040992519455914256,0.0033463281188501432,5.993698036108408,Overvalued
Arshdeep Singh,0.9890606411220536,106.19544103727492,19.276094098499396,368,18.0,Punjab Kings,Bowler,0.05494781339566965,16.727272727272727,0.0591286252844706,0.0032849236269150333,5.899746724293051,Overvalued
Dhruv Jurel,0.6301697018054911,67.66132088285559,11.305013514434528,219,14.0,Rajasthan Royals,Batter,0.04501212155753508,16.846153846153847,0.03740733389712961,0.0026719524212235435,4.832951491632542,Overvalued
Rashid Khan,0.5095879528845804,54.71445850121739,-24.64668435592547,336,18.0,Gujarat Titans,Bowler,0.02831044182692113,15.272727272727273,0.03336587786744276,0.0018536598815245978,3.039692138956522,Overvalued
