player_name,WAR,VORP,RAA,balls,auction_price_cr,team,role,war_per_crore,est_matches,war_per_match,war_per_cr_per_match,vorp_per_crore,price_bucket
Fazalhaq Farooqi,-0.0006158086472513,-0.066119374455375,-0.5807888481395856,2,2.0,Rajasthan Royals,Batter,-0.00030790432362565,0.15384615384615385,-0.00400275620713345,-0.002001378103566725,-0.0330596872276875,Mid-tier (2-5 Cr)
Mohammed Shami,-0.0011852099749405,-0.127255995009369,-2.957938100272527,11,10.0,Sunrisers Hyderabad,Batter,-0.00011852099749405,0.8461538461538461,-0.0014007026976569548,-0.00014007026976569546,-0.012725599500936898,Marquee (>10 Cr)
Akash Madhwal,-0.0076910147202284,-0.8257842505109276,-3.141796882089875,9,1.2,Rajasthan Royals,Batter,-0.006409178933523667,0.6923076923076923,-0.011109243484774356,-0.00925770290397863,-0.6881535420924397,Budget (<2 Cr)
Mohammed Siraj,-0.0113581789620224,-1.2195276751523467,-2.506201359362873,5,12.25,Gujarat Titans,Batter,-0.0009271982826140734,0.38461538461538464,-0.029531265301258238,-0.002410715534796591,-0.0995532796042732,Marquee (>10 Cr)
Musheer Khan,-0.0136275176944968,-1.463186574858122,-2.2351907853844377,3,0.3,Punjab Kings,Batter,-0.045425058981656004,0.23076923076923078,-0.0590525766761528,-0.19684192225384267,-4.877288582860407,Budget (<2 Cr)
Shahbaz Ahmed,-0.0145871880381085,-1.5662263796517104,-3.6249042743885527,8,2.4,Lucknow Super Giants,Batter,-0.006077995015878542,0.6153846153846154,-0.02370418056192631,-0.00987674190080263,-0.6525943248548793,Mid-tier (2-5 Cr)
Yash Dayal,-0.0258180592819885,-2.7720850251071143,-4.830762919843957,8,5.0,Royal Challengers Bengaluru,Batter,-0.0051636118563976995,0.6153846153846154,-0.04195434633323131,-0.008390869266646261,-0.5544170050214229,Premium (5-10 Cr)
Ravi Bishnoi,-0.0263848356811339,-2.832939807083349,-6.950295596557034,16,11.0,Lucknow Super Giants,Batter,-0.0023986214255576274,1.2307692307692308,-0.021437678990921295,-0.0019488799082655723,-0.2575399824621227,Marquee (>10 Cr)
Arshdeep Singh,-0.0322559193217545,-3.463318057576788,-5.00732647862942,6,18.0,Punjab Kings,Batter,-0.0017919955178752498,0.46153846153846156,-0.06988782519713474,-0.0038826569553963744,-0.192406558754266,Marquee (>10 Cr)
Arshad Khan,-0.0337015606364509,-3.618536565535736,-15.455934460272578,46,1.3,Gujarat Titans,Batter,-0.025924277412654535,3.5384615384615383,-0.009524354092910036,-0.007326426225315412,-2.78348966579672,Budget (<2 Cr)
Simarjeet Singh,-0.0388890370643455,-4.175515909598785,-5.976859067493521,7,1.5,Sunrisers Hyderabad,Batter,-0.025926024709563667,0.5384615384615384,-0.07222249740521308,-0.04814833160347539,-2.7836772730658566,Budget (<2 Cr)
Prince Yadav,-0.0527266251193532,-5.661257739064961,-8.491939844328119,11,0.3,Lucknow Super Giants,Batter,-0.17575541706451067,0.8461538461538461,-0.062313284231962876,-0.20771094743987625,-18.870859130216537,Budget (<2 Cr)
Suryansh Shedge,-0.0562702568087519,-6.041737473555701,-9.129754315660964,12,0.3,Punjab Kings,Batter,-0.18756752269583968,0.9230769230769231,-0.06095944487614789,-0.20319814958715965,-20.13912491185234,Budget (<2 Cr)
Noor Ahmad,-0.0648749763355588,-6.965626209148951,-11.34031673546474,17,10.0,Chennai Super Kings,Batter,-0.0064874976335558806,1.3076923076923077,-0.04961027602130967,-0.004961027602130967,-0.6965626209148951,Marquee (>10 Cr)
Kuldeep Yadav,1.4926788244730194,160.2689253836681,83.74210905713745,324,13.25,Delhi Capitals,Bowler,0.11265500562060524,14.727272727272727,0.10135473499508156,0.007649413961892948,12.095767953484383,Marquee (>10 Cr)
Noor Ahmad,1.0110455365024558,108.55595925426869,33.44630619304419,318,10.0,Chennai Super Kings,Bowler,0.10110455365024558,14.454545454545455,0.06994654655048436,0.006994654655048437,10.855595925426869,Marquee (>10 Cr)
Arshdeep Singh,0.9890606411220536,106.19544103727492,19.276094098499396,368,18.0,Punjab Kings,Bowler,0.05494781339566965,16.727272727272727,0.0591286252844706,0.0032849236269150333,5.899746724293051,Marquee (>10 Cr)
Sandeep Sharma,0.7213530127605325,77.45167298009838,20.056560735200417,243,4.0,Rajasthan Royals,Bowler,0.18033825319013314,11.045454545454545,0.06530768016762023,0.016326920041905058,19.362918245024595,Mid-tier (2-5 Cr)
Mohammed Siraj,0.6838297563782061,73.422800942328,-13.2603521188965,367,12.25,Gujarat Titans,Bowler,0.055822837255363765,16.681818181818183,0.040992519455914256,0.0033463281188501432,5.993698036108408,Marquee (>10 Cr)
Rashid Khan,0.5095879528845804,54.71445850121739,-24.64668435592547,336,18.0,Gujarat Titans,Bowler,0.02831044182692113,15.272727272727273,0.03336587786744276,0.0018536598815245978,3.039692138956522,Marquee (>10 Cr)
Yash Dayal,0.3892766991886726,41.79663919188778,-30.242493461173453,305,5.0,Royal Challengers Bengaluru,Bowler,0.07785533983773452,13.863636363636363,0.028078975023445234,0.005615795004689047,8.359327838377556,Premium (5-10 Cr)
Suyash Sharma,0.3844956075527809,41.28329338294209,-30.755839270119136,305,2.6,Royal Challengers Bengaluru,Bowler,0.1478829259818388,13.863636363636363,0.02773410939724977,0.010666965152788373,15.878189762670035,Mid-tier (2-5 Cr)
Vijaykumar Vyshak,0.3656298110125856,39.25767280842132,12.56776464515601,113,1.8,Punjab Kings,Bowler,0.20312767278476979,5.136363636363637,0.07118456497590162,0.03954698054216756,21.80981822690073,Budget (<2 Cr)
