batter_id,batter_name,RAA,balls_faced,RAA_per_ball,VORP,WAR,WAR_per_ball
b5797845,Priyansh Arya,120.30541424087218,317,0.37951234776300374,201.88052581981955,1.880232148829464,0.005931331699777489
271f83cd,SA Yadav,86.60236416308373,443,0.19549066402501972,200.6016525841364,1.868321249735833,0.004217429457642964
85ec8e33,SS Iyer,89.81104605625104,360,0.24947512793403068,182.45155131940896,1.6992786748571198,0.004720218541269777
9418198b,P Simran Singh,72.51110542964855,376,0.1928486846533206,169.26896648228012,1.5765015039795112,0.004192823148881679
f29185a1,Abhishek Sharma,93.89522071370442,242,0.38799677980869596,156.1702270294939,1.4545052345114453,0.006010352208724981
3241e3fd,N Pooran,77.21950625508184,295,0.2617610381528198,153.1332536235029,1.4262201138446762,0.004834644453710767
3d8feaf8,MR Marsh,38.78843004879041,410,0.09460592694826929,144.29567215405356,1.3439105164762368,0.0032778305279908214
3d284ca3,PD Salt,80.37940360357698,241,0.33352449628040237,142.39707518252436,1.3262277655073518,0.005503019773889426
6c19c6e5,YBK Jaiswal,42.72914901616842,360,0.11869208060046783,135.3696542793263,1.2607772588183506,0.003502159052273196
d5130a30,B Sai Sudharsan,3.2994582478129173,509,0.006482236243247382,134.2828393004445,1.2506551113015227,0.002457082733401813
235c2bb6,H Klaasen,56.37092655894149,294,0.1917378454385765,132.02733919052045,1.2296483113581116,0.004182477249517386
b17e2f24,KL Rahul,28.701963655084757,376,0.0763350097209701,125.45982470771634,1.1684811838289684,0.003107662722949384
b2b4f545,A Mhatre,75.57855765351265,137,0.5516683040402383,110.83341660088107,1.0322568371135425,0.007534721438784982
6a26221c,AK Markram,24.644046281179257,315,0.07823506755929922,105.70448838644242,0.9844881101466184,0.003125359079830535
e66732f8,RD Rickelton,35.97642034894153,266,0.13524970055993057,104.42746034894154,0.9725943964696054,0.00365636991153987
ba607b88,V Kohli,-18.53016494405254,470,-0.039425882859686255,102.41716137173694,0.9538712989823688,0.0020295134020901465
b4b99816,Shubman Gill,-11.833951344934963,435,-0.027204485850425203,100.10665918138083,0.9323522322937583,0.0021433384650431223
470f446b,V Suryavanshi,66.08336223089636,129,0.5122741258209019,99.27954328352794,0.9246488151581256,0.007167820272543609
04a418e8,R Parag,30.50866655215268,248,0.12301881674255112,94.32768128899478,0.8785292101051949,0.0035424564923596568
844e79d1,D Brevis,59.93765318577036,132,0.45407313019523,93.90583844892825,0.8746003394703199,0.006625760147502423
99b75528,JC Buttler,5.66083856816881,337,0.01679774055836442,92.38264488395829,0.8604139413612581,0.0025531570960274723
26989d80,Shashank Singh,30.626085958253498,238,0.1286810334380399,91.87175332667456,0.8556557076154844,0.003595192048804556
12b610c2,TM Head,27.741562061046384,248,0.11186113734292896,91.56057679788849,0.852757537467528,0.003438538457530355
fffa744b,Naman Dhir,52.87249254462212,142,0.3723414967931135,89.41402517620108,0.8327654389140456,0.00586454534446511
d1a60072,N Wadhera,7.711026425995566,261,0.02954416255170715,74.87539274178505,0.6973585986940957,0.0026718720256478762
989889ff,JP Inglis,27.02252601014554,177,0.15266963847539852,72.57077443119817,0.6758943320405902,0.0038186120454270635
752f7486,Ishan Kishan,8.834406244265463,246,0.03591222050514416,72.13875150742336,0.6718706482948995,0.002731181497133738
800d2d97,JM Sharma,30.62482476966566,155,0.19757951464300427,70.51170898019198,0.6567170436825183,0.004236884152790441
9d430b40,SP Narine,28.260701501584602,160,0.17662938438490378,69.43425939632145,0.6466821216012056,0.004041763260007535
740742ef,RG Sharma,-8.689697907564156,298,-0.029160060092497168,67.99605367138322,0.6332872652638839,0.002125125051221087
ad3b6e95,Abishek Porel,12.06895921453183,217,0.055617323569271106,67.91059710926868,0.6324913580075316,0.0029147067189287173
d9273ee7,MP Stoinis,44.29019874722449,91,0.4867054807387306,67.70765979985606,0.6306012834111582,0.00692968443308965
bcf325d2,Dhruv Jurel,11.305013514434528,219,0.051621066275956744,67.66132088285559,0.6301697018054911,0.002877487222856124
a3b0600d,Aniket Verma,28.430062131056793,148,0.1920950143990324,66.51560318368837,0.619498958588883,0.00418580377424921
