bowler_id,bowler_name,RAA,balls_bowled,RAA_per_ball,VORP,WAR,WAR_per_ball
462411b3,JJ Bumrah,102.87560100611084,289,0.35597093773740773,171.13563161835575,1.5938868549721126,0.0055151794289692475
8d2c70ad,Kuldeep Yadav,83.74210905713745,324,0.2584632995590662,160.2689253836681,1.4926788244730194,0.004607033408867344
85e0cf10,M Prasidh Krishna,59.081553192305165,364,0.1623119593195197,145.0561246208766,1.350993057845549,0.003711519389685574
5b7ab5a9,CV Varun,38.83788920132192,308,0.1260970428614348,111.58560348703622,1.0392623962655883,0.003374228559303858
efc04be7,Noor Ahmad,33.44630619304419,318,0.10517706350013895,108.55595925426869,1.0110455365024558,0.003179388479567471
9d430b40,SP Narine,43.43762879808333,275,0.1579550138112121,108.39094512461395,1.009508662797932,0.00367094059199248
244048f6,Arshdeep Singh,19.276094098499396,368,0.05238069048505271,106.19544103727492,0.9890606411220537,0.0026876647856577548
64839cb3,M Pathirana,33.442014052844684,292,0.1145274453864544,102.41062629774265,0.9538104339922012,0.0032664740890143876
13fc5c6d,DS Rathi,22.010462943956824,321,0.06856842038615833,97.82869763783438,0.9111362357998918,0.002838430641121158
f986ca1a,HV Patel,25.304263812759828,286,0.08847644689776164,92.85571279235167,0.8648199012047282,0.0030238458084081406
5574750c,JC Archer,17.274634036542857,292,0.05915970560459882,86.24324628144083,0.803234108982405,0.002750801743090428
5b8c830e,KH Pandya,16.997963686169225,283,0.060063475922859454,83.840831033108,0.7808590018916644,0.002759219087956411
ded9240e,PJ Cummins,8.024782984561963,312,0.025720458283852443,81.71727278048034,0.761081054116423,0.0024393623529372532
e4a0deae,MJ Santner,21.107794144520287,247,0.08545665645554772,79.44768189962232,0.7399430185305236,0.002995720722795642
ce820073,Sandeep Sharma,20.056560735200417,243,0.0825372869761334,77.45167298009838,0.7213530127605325,0.0029685309167100105
a818c1be,TA Boult,-9.829254791603077,357,-0.027532926587123464,74.49195949411121,0.6937874591982044,0.0019433822386504325
f24c6701,M Theekshana,10.167877624026538,271,0.03751984363109424,74.17641844035307,0.6908486396605483,0.0025492569729171524
2f49c897,Mohammed Siraj,-13.260352118896499,367,-0.03613174964276975,73.422800942328,0.6838297563782061,0.0018632963389051938
a97c8ec2,PWH de Silva,10.868022175291085,251,0.04329889312864974,70.15268544059721,0.6533732461637068,0.0026030806620068003
dbe50b21,HH Pandya,7.3924720119626715,229,0.03228153717014267,61.48086997114635,0.5726075251107977,0.002500469541968549
1e66c162,JD Unadkat,26.378635846240275,146,0.18067558798794708,60.862941968689256,0.5668523979574299,0.003882550670941301
5750bcb4,E Malinga,21.095323872319867,165,0.1278504477110295,60.067313668238235,0.5594422433476598,0.0033905590505918775
03806cf8,JR Hazlewood,-5.944464557014799,270,-0.022016535396351105,57.827882381760716,0.5385851018139212,0.001994759636347856
