price_name,cricwar_name,team,price_cr,total_WAR,batting_WAR,bowling_WAR,match_type,war_per_crore,price_per_1_war
Yuvraj Chaudhary,,Delhi Capitals,0.3,0.0,0.0,0.0,none,0.0,
Rashid Khan,Rashid Khan,Gujarat Titans,18.0,0.5161962579260365,0.0066083050414562,0.5095879528845804,exact,0.028677569884779805,34.870458132184176
Shubman Gill,Shubman Gill,Gujarat Titans,16.5,0.9323522322937584,0.9323522322937584,0.0,exact,0.05650619589659142,17.69717433872278
Sai Sudharsan,B Sai Sudharsan,Gujarat Titans,8.5,1.2506551113015227,1.2506551113015227,0.0,exact,0.14713589544723796,6.796438061292759
Rahul Tewatia,R Tewatia,Gujarat Titans,4.0,0.1173943806458701,0.1173943806458701,0.0,exact,0.029348595161467525,34.07318116926169
Shahrukh Khan,M Shahrukh Khan,Gujarat Titans,4.0,0.37754916320509213,0.4011778052611814,-0.0236286420560893,fuzzy,0.09438729080127303,10.594646710492432
Jos Buttler,JC Buttler,Gujarat Titans,15.75,0.8604139413612581,0.8604139413612581,0.0,exact,0.0546294565943656,18.305142725932562
Mohammed Siraj,Mohammed Siraj,Gujarat Titans,12.25,0.6724715774161837,-0.0113581789620224,0.6838297563782061,exact,0.05489563897274969,18.216383281309508
Kagiso Rabada,K Rabada,Gujarat Titans,10.75,-0.0236562740339667,-0.0168605335800644,-0.0067957404539023,exact,-0.0022005836310666697,
Prasidh Krishna,M Prasidh Krishna,Gujarat Titans,9.5,1.350993057845549,0.0,1.350993057845549,exact,0.14220979556268937,7.031864408800003
Mahipal Lomror,MK Lomror,Gujarat Titans,1.7,0.0,0.0,0.0,metadata_only,0.0,
Sherfane Rutherford,SE Rutherford,Gujarat Titans,2.6,-0.0336503461406892,-0.0336503461406892,0.0,exact,-0.012942440823342,
Gerald Coetzee,G Coetzee,Gujarat Titans,2.4,0.12226006510695481,0.051791089064168,0.0704689760427868,exact,0.05094169379456451,19.63028563660952
Washington Sundar,Washington Sundar,Gujarat Titans,3.2,0.23684430397918468,0.0927439998083533,0.1441003041708314,exact,0.07401384499349521,13.510985682312358
Arshad Khan,Arshad Khan,Gujarat Titans,1.3,0.220477082546991,-0.0337015606364509,0.2541786431834419,exact,0.1695977558053777,5.896304436643327
Gurnoor Brar,Gurnoor Brar,Gujarat Titans,1.3,0.0,0.0,0.0,metadata_only,0.0,
Glenn Phillips,GD Phillips,Gujarat Titans,2.0,0.0,0.0,0.0,metadata_only,0.0,
Ishant Sharma,,Gujarat Titans,0.75,0.0,0.0,0.0,none,0.0,
Jayant Yadav,J Yadav,Gujarat Titans,0.75,0.0,0.0,0.0,metadata_only,0.0,
Karim Janat,Karim Janat,Gujarat Titans,0.75,-0.1925710463022468,0.0,-0.1925710463022468,exact,-0.2567613950696624,
Kumar Kushagra,Kumar Kushagra,Gujarat Titans,0.65,0.0,0.0,0.0,metadata_only,0.0,
Anuj Rawat,Anuj Rawat,Gujarat Titans,0.3,0.0,0.0,0.0,metadata_only,0.0,
Nishant Sindhu,,Gujarat Titans,0.3,0.0,0.0,0.0,none,0.0,
Manav Suthar,MJ Suthar,Gujarat Titans,0.3,0.0,0.0,0.0,metadata_only,0.0,
Sai Kishore,R Sai Kishore,Gujarat Titans,2.0,0.4552792897733123,-0.0335891547879029,0.4888684445612152,exact,0.22763964488665614,4.392907924706653
Kulwant Khejroliya,K Khejroliya,Gujarat Titans,0.3,0.0126796029446671,0.0,0.0126796029446671,exact,0.042265343148890334,
Rinku Singh,RK Singh,Kolkata Knight Riders,13.0,0.4811549334535536,0.4811549334535536,0.0,exact,0.037011917957965663,27.01832423641751
Varun Chakaravarthy,CV Varun,Kolkata Knight Riders,12.0,1.039476771382082,0.0002143751164936,1.0392623962655885,fuzzy,0.08662306428184018,11.544269511712967
Sunil Narine,SP Narine,Kolkata Knight Riders,12.0,1.6561907843991377,0.6466821216012056,1.009508662797932,exact,0.13801589869992814,7.245542067397491
Andre Russell,AD Russell,Kolkata Knight Riders,12.0,0.29908683482778786,0.31203839064162,-0.0129515558138321,exact,0.024923902902315654,40.12212709700017
Harshit Rana,Harshit Rana,Kolkata Knight Riders,4.0,0.36125338075614893,0.0160627068488117,0.3451906739073372,exact,0.09031334518903723,11.0725607373625
Ramandeep Singh,Ramandeep Singh,Kolkata Knight Riders,4.0,0.054849845599073,0.054849845599073,0.0,exact,0.01371246139976825,
Venkatesh Iyer,VR Iyer,Kolkata Knight Riders,23.75,0.1573138271551347,0.1573138271551347,0.0,exact,0.006623740090742514,150.97210734425136
Anrich Nortje,A Nortje,Kolkata Knight Riders,6.5,-0.0103826482151646,0.0,-0.0103826482151646,exact,-0.0015973304946407076,
Quinton de Kock,Q de Kock,Kolkata Knight Riders,3.6,0.165598880776152,0.165598880776152,0.0,exact,0.045999689104486666,21.739277361821628
Angkrish Raghuvanshi,A Raghuvanshi,Kolkata Knight Riders,3.0,0.4280044127727531,0.4280044127727531,0.0,exact,0.1426681375909177,7.009273527263458
Spencer Johnson,SH Johnson,Kolkata Knight Riders,2.8,-0.0791035421380038,-0.0063834002339752,-0.0727201419040286,exact,-0.028251265049287076,
Rahmanullah Gurbaz,Rahmanullah Gurbaz,Kolkata Knight Riders,2.0,0.129255387009192,0.129255387009192,0.0,exact,0.064627693504596,15.473242905208815
Moeen Ali,MM Ali,Kolkata Knight Riders,2.0,0.025157834282336297,-0.0897830393601398,0.1149408736424761,exact,0.012578917141168149,
Vaibhav Arora,VG Arora,Kolkata Knight Riders,1.8,0.4752661644544099,-0.0423712285809255,0.5176373930353354,exact,0.2640367580302277,3.787351456138986
Rovman Powell,R Powell,Kolkata Knight Riders,1.5,-0.0400729112903382,-0.0400729112903382,0.0,exact,-0.0267152741935588,
Ajinkya Rahane,AM Rahane,Kolkata Knight Riders,1.5,0.5836577781347273,0.5836577781347273,0.0,exact,0.38910518542315153,2.5699991607989006
Manish Pandey,MK Pandey,Kolkata Knight Riders,0.75,0.1582952883065118,0.1582952883065118,0.0,exact,0.21106038440868238,4.737980567986035
Umran Malik,Umran Malik,Kolkata Knight Riders,0.75,0.0,0.0,0.0,metadata_only,0.0,
Anukul Roy,,Kolkata Knight Riders,0.4,0.0,0.0,0.0,none,0.0,
Mayank Markande,M Markande,Kolkata Knight Riders,0.3,0.0,0.0,0.0,metadata_only,0.0,
Luvnith Sisodia,,Kolkata Knight Riders,0.3,0.0,0.0,0.0,none,0.0,
Nicholas Pooran,N Pooran,Lucknow Super Giants,21.0,1.4262201138446762,1.4262201138446762,0.0,exact,0.06791524351641315,14.724234917280816
Ravi Bishnoi,Ravi Bishnoi,Lucknow Super Giants,11.0,-0.1369680543923017,-0.0263848356811339,-0.1105832187111678,exact,-0.012451641308391064,
Mayank Yadav,MP Yadav,Lucknow Super Giants,11.0,-0.0503719863543038,0.0,-0.0503719863543038,exact,-0.004579271486754891,
Ayush Badoni,A Badoni,Lucknow Super Giants,4.0,0.5330230103665002,0.5040983899164019,0.0289246204500984,exact,0.13325575259162506,7.5043664573686
Mohsin Khan,Mohsin Khan,Lucknow Super Giants,4.0,0.0,0.0,0.0,metadata_only,0.0,
Rishabh Pant,RR Pant,Lucknow Super Giants,27.0,0.2677124016702306,0.2677124016702306,0.0,exact,0.009915274135934467,100.85449845262951
Avesh Khan,Avesh Khan,Lucknow Super Giants,9.75,0.36328810722235233,0.039759674808572,0.3235284324137803,exact,0.037260318689472036,26.83820308500345
Akash Deep,Akash Deep,Lucknow Super Giants,8.0,0.024676152860594602,0.0373715393190508,-0.0126953864584562,exact,0.0030845191075743253,
David Miller,DA Miller,Lucknow Super Giants,7.5,-0.0446883820336662,-0.0446883820336662,0.0,exact,-0.00595845093782216,
Abdul Samad,Abdul Samad,Lucknow Super Giants,4.2,0.3048685017418617,0.3336386452089092,-0.0287701434670475,exact,0.07258773850996707,13.776431399122448
Mitchell Marsh,MR Marsh,Lucknow Super Giants,3.4,1.3439105164762368,1.3439105164762368,0.0,exact,0.3952677989635991,2.529930347531527
Shahbaz Ahmed,Shahbaz Ahmed,Lucknow Super Giants,2.4,0.040056878343636096,-0.0145871880381085,0.0546440663817446,exact,0.01669036597651504,
Aiden Markram,AK Markram,Lucknow Super Giants,2.0,1.044836929148336,0.9844881101466184,0.0603488190017176,exact,0.522418464574168,1.9141743024246218
M. Siddharth,M Siddharth,Lucknow Super Giants,0.75,0.0177487889444619,0.0,0.0177487889444619,exact,0.0236650519259492,
Shamar Joseph,,Lucknow Super Giants,0.75,0.0,0.0,0.0,none,0.0,
Aryan Juyal,,Lucknow Super Giants,0.3,0.0,0.0,0.0,none,0.0,
Himmat Singh,,Lucknow Super Giants,0.3,0.0,0.0,0.0,none,0.0,
Arshin Kulkarni,AA Kulkarni,Lucknow Super Giants,0.3,0.0,0.0,0.0,metadata_only,0.0,
Rajvardhan Hangargekar,RS Hangargekar,Lucknow Super Giants,0.3,0.0,0.0,0.0,metadata_only,0.0,
Digvesh Singh,,Lucknow Super Giants,0.3,0.0,0.0,0.0,none,0.0,
Akash Singh,Akash Singh,Lucknow Super Giants,0.3,0.0724400164044841,0.0,0.0724400164044841,exact,0.24146672134828032,
Prince Yadav,Prince Yadav,Lucknow Super Giants,0.3,0.26487922280769466,-0.0527266251193532,0.3176058479270479,exact,0.8829307426923155,1.1325916650616399
Yuvraj Singh,Yuvraj Singh,Lucknow Super Giants,0.3,0.0,0.0,0.0,metadata_only,0.0,
Matthew Breetzke,MP Breetzke,Lucknow Super Giants,0.75,0.0305281997240555,0.0305281997240555,0.0,exact,0.04070426629874067,
Jasprit Bumrah,JJ Bumrah,Mumbai Indians,18.0,1.5867704263286029,-0.0071164286435098,1.5938868549721126,exact,0.08815391257381128,11.343795990480853
Suryakumar Yadav,SA Yadav,Mumbai Indians,16.35,1.868321249735833,1.868321249735833,0.0,exact,0.11427041282787968,8.751171674738362
Hardik Pandya,HH Pandya,Mumbai Indians,16.35,0.8831928116563561,0.3105852865455584,0.5726075251107977,exact,0.05401790896980771,18.512378932678256
Rohit Sharma,RG Sharma,Mumbai Indians,16.3,0.6332872652638839,0.6332872652638839,0.0,exact,0.03885197946404195,25.738714315071483
Tilak Varma,Tilak Varma,Mumbai Indians,8.0,0.4853255464722896,0.4853255464722896,0.0,exact,0.0606656933090362,16.48378095517536
Trent Boult,TA Boult,Mumbai Indians,12.5,0.6790374622772053,-0.0147499969209991,0.6937874591982044,exact,0.05432299698217642,18.40840998386197
Deepak Chahar,DL Chahar,Mumbai Indians,9.25,0.5215791829408936,0.1177153038571439,0.4038638790837497,exact,0.05638693869631282,17.734603493652525
Naman Dhir,Naman Dhir,Mumbai Indians,5.25,0.9824449718171214,0.8327654389140456,0.1496795329030758,exact,0.1871323755842136,5.3438107482902035
Allah Ghazanfar,,Mumbai Indians,4.8,0.0,0.0,0.0,none,0.0,
Will Jacks,WG Jacks,Mumbai Indians,5.25,0.7443713842912605,0.4943488573226992,0.2500225269685613,exact,0.1417850255792877,7.052930984173567
Mitchell Santner,MJ Santner,Mumbai Indians,2.0,0.7758247728069846,0.035881754276461,0.7399430185305236,exact,0.3879123864034923,2.577901699070358
Ryan Rickelton,RD Rickelton,Mumbai Indians,1.0,0.9725943964696054,0.9725943964696054,0.0,exact,0.9725943964696054,1.0281778340795231
Lizaad Williams,LB Williams,Mumbai Indians,0.75,0.0,0.0,0.0,metadata_only,0.0,
Reece Topley,RJW Topley,Mumbai Indians,0.75,-0.0900975979294224,0.0,-0.0900975979294224,exact,-0.1201301305725632,
Robin Minz,,Mumbai Indians,0.65,0.0,0.0,0.0,none,0.0,
Karn Sharma,KV Sharma,Mumbai Indians,0.5,0.0575111743853621,-0.0002493102199315,0.0577604846052936,exact,0.1150223487707242,
Arjun Tendulkar,Arjun Tendulkar,Mumbai Indians,0.3,0.0,0.0,0.0,metadata_only,0.0,
Ashwani Kumar,Ashwani Kumar,Mumbai Indians,0.3,0.0650075021726697,0.0,0.0650075021726697,exact,0.21669167390889904,
Bevon Jacobs,,Mumbai Indians,0.3,0.0,0.0,0.0,none,0.0,
Raj Angad Bawa,,Mumbai Indians,0.3,0.0,0.0,0.0,none,0.0,
Shrijith Krishnan,,Mumbai Indians,0.3,0.0,0.0,0.0,none,0.0,
V. Satyanarayana Raju,PVSN Raju,Mumbai Indians,0.3,0.0288251660903247,0.0016492992986672,0.0271758667916575,fuzzy,0.096083886967749,
Vignesh Puthur,V Puthur,Mumbai Indians,0.3,0.0169667690227477,0.0,0.0169667690227477,exact,0.05655589674249233,
Shashank Singh,Shashank Singh,Punjab Kings,5.5,0.8311677078765443,0.8556557076154844,-0.0244879997389401,exact,0.15112140143209896,6.617196442883138
Prabhsimran Singh,,Punjab Kings,4.0,0.0,0.0,0.0,none,0.0,
Shreyas Iyer,SS Iyer,Punjab Kings,26.75,1.6992786748571198,1.6992786748571198,0.0,exact,0.06352443644325681,15.741973577258724
Arshdeep Singh,Arshdeep Singh,Punjab Kings,18.0,0.9568047218002991,-0.0322559193217545,0.9890606411220536,exact,0.053155817877794394,18.81261618999085
Yuzvendra Chahal,YS Chahal,Punjab Kings,18.0,0.2603397900712508,0.0,0.2603397900712508,exact,0.014463321670625045,69.14041067281221
Marcus Stoinis,MP Stoinis,Punjab Kings,11.0,0.5413852680975082,0.6306012834111582,-0.08921601531365,exact,0.04921684255431893,20.318247740015718
Glenn Maxwell,GJ Maxwell,Punjab Kings,4.2,0.09372697094663661,-0.0992099853398964,0.192936956286533,exact,0.022315945463484907,
Nehal Wadhera,N Wadhera,Punjab Kings,4.2,0.7063146520372665,0.6973585986940957,0.0089560533431709,exact,0.1681701552469682,5.946358309127078
Marco Jansen,,Punjab Kings,7.0,0.0,0.0,0.0,none,0.0,
Josh Inglis,JP Inglis,Punjab Kings,2.6,0.6758943320405902,0.6758943320405902,0.0,exact,0.25995935847715007,3.846755146104494
Azmatullah Omarzai,Azmatullah Omarzai,Punjab Kings,2.4,0.21705098237588633,0.0938653203616951,0.1231856620141912,exact,0.09043790932328598,11.057310009515222
Lockie Ferguson,LH Ferguson,Punjab Kings,2.0,0.3789745762476636,0.0258208941504015,0.3531536820972621,exact,0.1894872881238318,5.27739886881747
Vijaykumar Vyshak,Vijaykumar Vyshak,Punjab Kings,1.8,0.3656298110125856,0.0,0.3656298110125856,exact,0.20312767278476979,4.923012144483046
Yash Thakur,Yash Thakur,Punjab Kings,1.6,0.028685706283967,0.0,0.028685706283967,exact,0.017928566427479375,
Harpreet Brar,Harpreet Brar,Punjab Kings,1.5,0.2803270778133805,0.0282491765433814,0.2520779012699991,exact,0.18688471854225366,5.350892292319263
Aaron Hardie,,Punjab Kings,1.25,0.0,0.0,0.0,none,0.0,
Vishnu Vinod,Vishnu Vinod,Punjab Kings,0.95,0.0,0.0,0.0,metadata_only,0.0,
Kuldeep Sen,KR Sen,Punjab Kings,0.8,0.0,0.0,0.0,metadata_only,0.0,
Xavier Bartlett,XC Bartlett,Punjab Kings,0.75,-0.0225561067008649,0.0102106671591769,-0.0327667738600418,exact,-0.030074808934486535,
Harnoor Pannu,,Punjab Kings,0.3,0.0,0.0,0.0,none,0.0,
Priyansh Arya,Priyansh Arya,Punjab Kings,3.8,1.880232148829464,1.880232148829464,0.0,exact,0.49479793390249055,2.0210270324149517
Musheer Khan,Musheer Khan,Punjab Kings,0.3,-0.0929067578916342,-0.0136275176944968,-0.0792792401971374,exact,-0.309689192972114,
Suryansh Shedge,Suryansh Shedge,Punjab Kings,0.3,-0.1309883512049167,-0.0562702568087519,-0.0747180943961648,exact,-0.4366278373497223,
Pravin Dubey,P Dubey,Punjab Kings,0.8,-0.0083207138991756,0.0,-0.0083207138991756,fuzzy,-0.0104008923739695,
Sanju Samson,SV Samson,Rajasthan Royals,18.0,0.5651136380138746,0.5651136380138746,0.0,exact,0.031395202111881924,31.852000711329616
Yashasvi Jaiswal,YBK Jaiswal,Rajasthan Royals,18.0,1.2607772588183506,1.2607772588183506,0.0,exact,0.07004318104546392,14.276907260264434
Riyan Parag,R Parag,Rajasthan Royals,14.0,1.3817563525565908,0.8785292101051949,0.503227142451396,exact,0.09869688232547077,10.132032303739035
Dhruv Jurel,Dhruv Jurel,Rajasthan Royals,14.0,0.6301697018054911,0.6301697018054911,0.0,exact,0.04501212155753508,22.216237879873912
Shimron Hetmyer,SO Hetmyer,Rajasthan Royals,11.0,0.1976615176824394,0.1976615176824394,0.0,exact,0.017969228880221764,55.65069078176597
Sandeep Sharma,Sandeep Sharma,Rajasthan Royals,4.0,0.7279674493933879,0.0066144366328553,0.7213530127605325,exact,0.18199186234834697,5.494751177862668
Jofra Archer,JC Archer,Rajasthan Royals,12.5,0.9263960521351341,0.1231619431527291,0.803234108982405,exact,0.07411168417081072,13.493149038351705
Tushar Deshpande,TU Deshpande,Rajasthan Royals,6.5,0.4311587898901723,-0.0132962866690673,0.4444550765592396,exact,0.06633212152156497,15.07565229426431
