bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
a12e1d51,SL Malinga,66.9742,0.0709,945,-57.243,False,262.69296470588233,0.2779819732337379,2.3571851123989997,0.002494375780316402
85e0cf10,M Prasidh Krishna,29.8879,0.0266,1122,-28.0939,False,262.2651,0.23374786096256686,2.353345815385637,0.002097456163445309
acee4cc4,Imran Tahir,25.0128,0.0219,1143,-117.1637,False,261.73930588235294,0.22899326848849777,2.3486277824238773,0.002054792460563322
e62dd25d,K Rabada,35.8156,0.033,1084,-62.797,False,260.3226274509804,0.24015002532378266,2.335915704994522,0.0021549037868953155
dbe50b21,HH Pandya,23.3032,0.0211,1103,-6.237,False,251.7453137254902,0.22823691180914796,2.2589501256508266,0.0020480055536272225
8b5b6769,Harbhajan Singh,-43.4334,-0.031,1403,-115.5144,False,247.1416549019608,0.17615228432071334,2.217640774052707,0.0015806420342499693
8cf9814c,Mohammed Shami,-51.4717,-0.0358,1438,27.4544,False,246.3521980392157,0.17131585399110966,2.2105568539872134,0.0015372439874737228
2f49c897,Mohammed Siraj,-8.9647,-0.0073,1230,-10.7432,False,245.78035882352944,0.1998214299378288,2.2054256511496697,0.0017930289846745282
e2db2409,M Ashwin,98.504,0.1444,682,-134.8548,False,239.75288627450982,0.3515438215168766,2.151340196010625,0.0031544577654114736
8d2c70ad,Kuldeep Yadav,-16.0137,-0.014,1144,-66.3274,False,220.91991568627452,0.19311181441107914,1.9823490015089382,0.0017328225537665545
a818c1be,TA Boult,-100.6607,-0.0668,1506,53.2796,False,211.24666470588232,0.14027002968518082,1.8955494055433255,0.001258664943919871
5574750c,JC Archer,101.2184,0.1973,513,-112.4935,False,207.4657294117647,0.4044166265336544,1.86162248102056,0.0036288937251862767
7c7d63a2,AJ Tye,64.4606,0.0938,687,-46.3002,False,206.74503529411766,0.3009389160030825,1.855155579835699,0.002700372023050508
4329fbb5,SR Watson,20.5194,0.023,894,-2.6208,False,205.67556470588235,0.2300621529148572,1.845559052758701,0.00206438372791801
bbd41817,AD Russell,-52.825,-0.0441,1197,70.4276,False,195.08543529411764,0.16297864268514423,1.7505321630369315,0.0014624328847426327
91a4a398,Z Khan,52.8291,0.0786,672,-62.5662,False,192.00688823529413,0.28572453606442577,1.7229078781498075,0.0025638510091514992
13c35c9e,TG Southee,-24.8324,-0.0238,1044,17.288,False,191.39023529411764,0.18332398016677937,1.7173745547352055,0.001644994784229124
dcf81436,S Kaul,-17.7472,-0.0178,997,-17.9731,False,188.74127450980393,0.18930920211615238,1.6936050147663522,0.0016987011181207143
244048f6,Arshdeep Singh,48.739,0.0756,645,-78.5161,False,182.3248235294118,0.28267414500683996,1.6360291952450627,0.0025364793724729656
bb351c23,MM Ali,71.421,0.1343,532,-121.4193,False,181.6034156862745,0.3413598039215686,1.6295558896896019,0.0030630749806195524
56ab442f,NM Coulter-Nile,38.275,0.0566,676,-57.9736,False,178.2812274509804,0.2637296264067757,1.5997453743695962,0.0023664872401917103
eef2536f,Avesh Khan,2.6908,0.0032,843,-35.4631,False,177.28436470588235,0.2103017374921499,1.5908003688401136,0.00188707042567036
e087956b,BA Stokes,43.2264,0.0696,621,-48.9326,False,171.84158823529413,0.2767175333901677,1.5419614831815254,0.0024830297635773354
98ae73b1,PP Chawla,-70.4064,-0.0619,1137,35.5665,False,165.0774470588235,0.14518684877644988,1.481265785079396,0.0013027843316441477
23eeb873,DL Chahar,-55.729,-0.0524,1064,-1.48,False,164.63583137254903,0.15473292422232052,1.4773030983654463,0.00138844276162166
